273.92,Unsorted:,3.70477/5.39254/19.9781,2.782/5.38655/14.9854,2.77979/10.7791/29.9636,3.93666/5.33262/20.9927,3.35386/10.7252/35.9708,2.88996/10.7192/30.9781,2.85236/16.1117/45.9563,
273.92,Sorted:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.11988/208.053/441.048,2.15859/675.65/1458.45,2.18884/471.419/1031.86,2.64769/471.374/1248.05,3.08383/266.254/821.082,
273.92,Sorted:,2.77979/10.7791/29.9636,2.78201/5.38655/14.9854,2.85235/16.1117/45.9563,2.88997/10.7192/30.9781,3.35387/10.7252/35.9708,3.70477/5.39254/19.9781,3.93666/5.33262/20.9927,
273.92,Sorted:,2.77979/10.7791/29.9636,2.782/5.38655/14.9854,2.85236/16.1117/45.9563,2.88996/10.7192/30.9781,3.35386/10.7252/35.9708,3.70477/5.39254/19.9781,3.93666/5.33262/20.9927,
273.921,Filtered:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.15859/675.65/1458.45,
273.921,Filtered:,2.77979/10.7791/29.9636,2.85235/16.1117/45.9563,
273.921,Filtered:,2.77979/10.7791/29.9636,2.85236/16.1117/45.9563,
273.921,Selected:,2,-1,-1,Total:675.65,OK,CLA:-1,UUV:1,Config:-1,false

316.305,Unsorted:,3.08383/266.254/821.082,2.11988/208.053/441.048,2.64769/471.374/1248.05,1.07315/208.098/223.321,2.18884/471.419/1031.86,1.58089/413.221/653.258,2.15859/675.65/1458.45,
316.305,Unsorted:,3.0871/213.249/658.322,2.11558/259.766/549.555,2.53948/470.082/1193.76,1.10484/89.7434/99.1521,2.48291/299.949/744.746,1.83988/346.535/637.584,2.30236/555.884/1279.85,
316.305,Unsorted:,3.0871/213.249/658.322,2.11988/208.053/441.048,2.59406/418.336/1085.19,1.10503/89.44/98.8339,2.48435/299.646/744.427,1.7953/294.486/528.69,2.3241/503.817/1170.92,
316.305,Sorted:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.11988/208.053/441.048,2.15859/675.65/1458.45,2.18884/471.419/1031.86,2.64769/471.374/1248.05,3.08383/266.254/821.082,
316.305,Sorted:,1.10484/89.7434/99.1521,1.83988/346.535/637.584,2.11558/259.766/549.555,2.30236/555.884/1279.85,2.48291/299.949/744.746,2.53948/470.082/1193.76,3.0871/213.249/658.322,
316.305,Sorted:,1.10503/89.44/98.8339,1.7953/294.486/528.69,2.11988/208.053/441.048,2.3241/503.817/1170.92,2.48435/299.646/744.427,2.59406/418.336/1085.19,3.0871/213.249/658.322,
316.305,Filtered:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.15859/675.65/1458.45,
316.305,Filtered:,1.10484/89.7434/99.1521,1.83988/346.535/637.584,2.30236/555.884/1279.85,
316.305,Filtered:,1.10503/89.44/98.8339,1.7953/294.486/528.69,2.3241/503.817/1170.92,
316.305,Selected:,1,-1,1,Total:707.707,OK,CLA:-1,UUV:1,Config:-1,false

328.546,Unsorted:,3.08383/266.254/821.082,2.11988/208.053/441.048,2.64769/471.374/1248.05,1.07315/208.098/223.321,2.18884/471.419/1031.86,1.58089/413.221/653.258,2.15859/675.65/1458.45,
328.546,Unsorted:,3.0871/213.249/658.322,2.11558/259.766/549.555,2.53948/470.082/1193.76,1.07651/182.621/196.592,2.14374/392.887/842.249,1.67266/439.473/735.088,2.12279/648.854/1377.38,
328.546,Unsorted:,3.0871/213.249/658.322,2.11988/208.053/441.048,2.59406/418.336/1085.19,1.10503/89.44/98.8339,2.48435/299.646/744.427,1.7953/294.486/528.69,2.3241/503.817/1170.92,
328.546,Sorted:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.11988/208.053/441.048,2.15859/675.65/1458.45,2.18884/471.419/1031.86,2.64769/471.374/1248.05,3.08383/266.254/821.082,
328.546,Sorted:,1.07651/182.621/196.592,1.67266/439.473/735.088,2.11558/259.766/549.555,2.12279/648.854/1377.38,2.14374/392.887/842.249,2.53948/470.082/1193.76,3.0871/213.249/658.322,
328.546,Sorted:,1.10503/89.44/98.8339,1.7953/294.486/528.69,2.11988/208.053/441.048,2.3241/503.817/1170.92,2.48435/299.646/744.427,2.59406/418.336/1085.19,3.0871/213.249/658.322,
328.546,Filtered:,1.07315/208.098/223.321,1.58089/413.221/653.258,2.15859/675.65/1458.45,
328.546,Filtered:,1.07651/182.621/196.592,1.67266/439.473/735.088,2.12279/648.854/1377.38,
328.546,Filtered:,1.10503/89.44/98.8339,1.7953/294.486/528.69,2.3241/503.817/1170.92,
328.546,Selected:,1,0,0,Total:685.282,OK,CLA:182.621,UUV:1,Config:0,true

1333.63,Unsorted:,3.08383/266.254/821.082,2.11988/208.053/441.048,2.64769/471.374/1248.05,1.07315/208.098/223.321,2.18884/471.419/1031.86,1.58089/413.221/653.258,2.15859/675.65/1458.45,
