Type,Time,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA
Normal,191.022,,206.071,688.517,0.998545,4,91,,248.507,567.445,0.910878,4.87761,90.91,,455.848,1251.46,1.41899,-1,-1,,116.651,134.091,0.597093,2.2437,90.1,,322.722,818.108,1.09238,-1,-1,,369.392,697.035,1.06027,-1,-1,,577.752,1381.05,1.55556,-1,-1,,6,6,369.392,697.035,1.06027,3.6,4.1913,352.665
Normal,201.132,,206.071,688.517,1.00009,4,91,,248.973,568.482,0.912908,4.8873,90.91,,456.316,1252.5,1.42255,-1,-1,,111.923,128.777,0.593535,2.15041,90.1,,317.994,812.794,1.09036,-1,-1,,365.077,692.759,1.05873,-1,-1,,573.437,1376.78,1.55556,-1,-1,,6,6,365.077,692.759,1.05873,3.6,4.07112,352.665
Normal,211.739,,206.071,688.517,1.00334,4,91,,251.925,575.049,0.920387,4.94867,90.91,,459.275,1259.07,1.43325,-1,-1,,98.1845,113.338,0.582855,1.88049,90.1,,304.255,797.355,1.0829,-1,-1,,354.153,683.887,1.05551,-1,-1,,562.513,1367.9,1.55556,-1,-1,,6,6,354.153,683.887,1.05551,3.6,4.57349,352.665
Normal,223.932,,206.071,687.017,0.993436,4,91,,252.645,573.576,0.92478,4.94893,90.91,,459.288,1257.59,1.41606,-1,-1,,112.353,137.719,0.654469,2.13185,90.1,,320.713,821.736,1.14575,-1,-1,,367.12,708.295,1.06427,-1,-1,,575.481,1392.31,1.55556,-1,-1,,4,4,112.353,137.719,0.654469,3.6,3.62879,109.36
Normal,234.197,,206.071,689.017,1.00403,4,90.25,,255.104,569.034,0.929081,5,90.1525,,461.747,1253.05,1.42946,-1,-1,,92.5105,118.962,0.587023,1.76951,89.275,,302.014,802.979,1.14295,-1,-1,,350.902,682.996,1.05518,-1,-1,,559.262,1367.01,1.55556,-1,-1,,2,2,255.104,569.034,0.929081,3.9,3.72527,109.36
Normal,244.243,,206.071,687.017,0.992462,4,91,,254.778,578.31,0.92736,4.99322,90.91,,461.421,1262.33,1.41767,-1,-1,,110.569,135.739,0.652855,2.09715,90.1,,318.929,819.756,1.14317,-1,-1,,367.488,711.048,1.06524,-1,-1,,575.848,1395.07,1.55556,-1,-1,,4,4,110.569,135.739,0.652855,3.6,3.75804,109.36
Normal,254.252,,206.071,689.017,0.993327,4,91,,255.104,569.034,0.920241,5,90.91,,461.747,1253.05,1.40999,-1,-1,,120.374,148.623,0.661968,2.28823,90.1,,328.735,832.64,1.15171,-1,-1,,377.622,712.657,1.06581,-1,-1,,585.982,1396.67,1.55556,-1,-1,,4,4,120.374,148.623,0.661968,3.6,3.7158,109.36
VIOLATE,265.113,,0.107978,2.35999,1.15608,0.002,91,,0.107858,3.23999,1.21429,0.002,90.91,,0.215835,0.599976,1.53968,-1,-1,,0.106778,15.12,2,0.002,90.1,,0.214755,12.48,2.3254,-1,-1,,0.214635,13.36,2.3836,-1,-1,,0.322613,10.72,2.70899,-1,-1,,4,4,0.108098,15.12,0.661968,3.6,4.57273,109.36
Decide,268.894,,5.39254,19.9781,1.43472,0.002,91,,5.38655,14.9854,1.32608,0.002,90.91,,10.7791,29.9636,2.152,-1,-1,,5.33262,20.9927,1.4568,0.002,90.1,,10.7252,35.9708,2.28272,-1,-1,,10.7192,30.9781,2.17408,-1,-1,,16.1117,45.9563,3,-1,-1,,4,4,5.39853,20.9927,0.661968,3.6,-1,109.36
Normal,278.203,,0.107978,3.85999,1.7539,0.002,99.8857,,0.108161,4.73999,1.9386,0.002,99.7667,,0.216438,2.09998,1.92297,-1,-1,,0.108098,5.12,2.05556,0.002,99.7667,,0.217275,2.47998,2.03993,-1,-1,,0.217167,3.35999,2.2118,-1,-1,,0.326344,0.719971,2.19617,-1,-1,,0,0,0.107978,3.85999,1.7539,0.1,4.27948,-1
Normal,287.767,,0.161964,4.03997,1.78906,0.003,99.8857,,0.108161,4.73999,1.9386,0.002,99.7667,,0.270575,2.27996,1.95813,-1,-1,,0.108098,5.12,2.05556,0.002,99.7667,,0.271862,2.65997,2.07508,-1,-1,,0.217167,3.35999,2.2118,-1,-1,,0.380931,0.899957,2.23133,-1,-1,,0,0,0.161964,4.03997,1.78906,0.1,3.78158,-1
Normal,297.791,,0.21595,4.21995,1.80534,0.004,99.8857,,0.216316,4.97997,1.9632,0.004,99.7667,,0.432866,2.69992,2.02807,-1,-1,,0.21619,5.23998,2.05556,0.004,99.7667,,0.434539,2.95994,2.12043,-1,-1,,0.434324,3.71995,2.26547,-1,-1,,0.652673,1.43991,2.33035,-1,-1,,0,7,0.21595,4.21995,1.80534,0.1,3.74076,-1
RECOVER,307.384,,206.071,690.517,0.983964,4,91,,255.104,570.534,0.912692,5,90.91,,461.747,1254.55,1.3921,-1,-1,,156.517,178.743,0.680832,3,90.1,,364.877,862.76,1.16024,-1,-1,,413.764,742.777,1.07615,-1,-1,,622.125,1426.79,1.55556,-1,-1,,4,11,156.517,178.743,0.680832,3.6,3.30703,-1
Decide,311.267,,213.249,658.322,1.51438,4,91,,259.766,549.555,1.42939,5,90.91,,470.082,1193.76,1.93274,-1,-1,,89.7434,99.1521,1.07747,1.79534,90.1,,299.949,744.746,1.5819,-1,-1,,346.535,637.584,1.49817,-1,-1,,555.884,1279.85,2,-1,-1,,4,11,84.8169,99.1521,0.633027,3.6,-1,-1
RECOVER,319.648,,206.071,690.517,0.983964,4,91,,255.104,570.534,0.912692,5,90.91,,461.747,1254.55,1.3921,-1,-1,,156.517,178.743,0.680832,3,90.1,,364.877,862.76,1.16024,-1,-1,,413.764,742.777,1.07615,-1,-1,,622.125,1426.79,1.55556,-1,-1,,4,4,156.517,178.743,0.680832,3.6,3.34012,-1
Decide,323.515,,213.249,658.322,1.47795,4,91,,259.766,549.555,1.39898,5,90.91,,470.082,1193.76,1.86669,-1,-1,,182.621,196.592,1.14273,3.51647,90.1,,392.887,842.249,1.61148,-1,-1,,439.473,735.088,1.53368,-1,-1,,648.854,1377.38,2,-1,-1,,4,4,172.596,196.592,0.698284,3.6,-1,-1
Normal,331.969,,206.071,690.517,0.942298,4,91,,255.104,570.534,0.878266,5,90.91,,461.747,1254.55,1.3164,-1,-1,,277.599,313.152,0.756139,5.47322,90.1,,485.959,997.169,1.19427,-1,-1,,534.846,877.186,1.11742,-1,-1,,743.207,1561.2,1.55556,-1,-1,,4,4,277.599,313.152,0.756139,3.6,3.42127,182.621
Normal,342.355,,206.071,690.517,1.00072,4,90.25,,255.104,570.534,0.926533,5,90.1525,,461.747,1254.55,1.42254,-1,-1,,112.128,131.007,0.594998,2.15444,89.275,,321.874,815.024,1.14656,-1,-1,,370.761,695.041,1.05955,-1,-1,,579.122,1379.06,1.55556,-1,-1,,2,2,255.104,570.534,0.926533,3.9,3.59748,182.621
Normal,352.594,,206.071,690.517,1.0094,4,90.25,,251.746,563.082,0.928215,4.93028,90.1525,,458.389,1247.1,1.43282,-1,-1,,97.8281,114.938,0.584791,1.87351,89.275,,307.398,798.954,1.14496,-1,-1,,352.898,671.519,1.05095,-1,-1,,561.259,1355.54,1.55556,-1,-1,,2,2,251.746,563.082,0.928215,3.9,3.69529,182.621
Normal,363.168,,206.071,690.517,1.0035,4,90.25,,254.304,568.759,0.927539,4.98338,90.1525,,460.947,1252.78,1.4263,-1,-1,,106.923,125.159,0.591261,2.05198,89.275,,316.605,809.175,1.14558,-1,-1,,364.686,687.417,1.0568,-1,-1,,573.046,1371.43,1.55556,-1,-1,,2,2,254.304,568.759,0.927539,3.9,4.03458,182.621
Normal,373.043,,206.071,690.517,1.00575,4,90.25,,253.279,566.484,0.92773,4.9621,90.1525,,459.922,1250.5,1.42872,-1,-1,,103.506,121.318,0.588857,1.98484,89.275,,313.146,805.335,1.14541,-1,-1,,360.193,681.303,1.05456,-1,-1,,568.553,1365.32,1.55556,-1,-1,,2,2,253.279,566.484,0.92773,3.9,3.83369,182.621
Normal,383.366,,206.071,690.517,1.00689,4,90.25,,252.146,563.971,0.926814,4.93859,90.1525,,458.789,1247.99,1.42893,-1,-1,,103.027,120.78,0.588661,1.97544,89.275,,312.661,804.797,1.14633,-1,-1,,358.566,678.251,1.05344,-1,-1,,566.926,1362.27,1.55556,-1,-1,,2,2,252.146,563.971,0.926814,3.9,4.03209,182.621
Normal,393.311,,206.071,690.517,1.00948,4,90.25,,248.731,556.393,0.923338,4.86779,90.1525,,455.374,1240.41,1.42802,-1,-1,,103.608,121.433,0.589596,1.98685,89.275,,313.249,805.45,1.14983,-1,-1,,355.71,671.326,1.05087,-1,-1,,564.07,1355.34,1.55556,-1,-1,,2,2,248.731,556.393,0.923338,3.9,3.91118,182.621
Normal,403.296,,206.071,690.517,1.0071,4,90.25,,254.855,569.981,0.931399,4.99482,90.1525,,461.498,1254,1.43372,-1,-1,,97.1794,114.209,0.583872,1.86081,89.275,,306.741,798.225,1.14175,-1,-1,,355.377,677.689,1.05323,-1,-1,,563.737,1361.71,1.55556,-1,-1,,2,2,254.855,569.981,0.931399,3.9,3.68513,182.621
Normal,413.54,,206.071,690.517,1.00149,4,90.25,,254.275,568.694,0.925836,4.98278,90.1525,,460.918,1252.71,1.4226,-1,-1,,111.874,130.722,0.594937,2.14944,89.275,,321.617,814.739,1.14726,-1,-1,,369.668,692.916,1.05879,-1,-1,,578.029,1376.93,1.55556,-1,-1,,2,2,254.275,568.694,0.925836,3.9,3.69465,182.621
Normal,423.803,,206.071,690.517,1.01161,4,90.25,,249.563,558.239,0.926421,4.88503,90.1525,,456.206,1242.26,1.43321,-1,-1,,96.9495,113.95,0.584426,1.85631,89.275,,306.508,797.967,1.14677,-1,-1,,349.808,665.689,1.04877,-1,-1,,558.168,1349.71,1.55556,-1,-1,,2,2,249.563,558.239,0.926421,3.9,3.72157,182.621
Normal,433.96,,206.071,690.517,1.00643,4,90.25,,254.724,569.691,0.930638,4.99211,90.1525,,461.368,1253.71,1.4323,-1,-1,,99.0273,116.285,0.585285,1.897,89.275,,308.612,800.302,1.14251,-1,-1,,357.116,679.476,1.05389,-1,-1,,565.476,1363.49,1.55556,-1,-1,,2,2,254.724,569.691,0.930638,3.9,3.86327,182.621
Normal,443.871,,206.071,690.517,0.997509,4,90.25,,256.256,573.089,0.925724,5.02393,90.1525,,462.899,1257.11,1.41855,-1,-1,,117.765,137.342,0.598953,2.2657,89.275,,327.581,821.359,1.14734,-1,-1,,377.629,703.931,1.06273,-1,-1,,585.99,1387.95,1.55556,-1,-1,,2,2,256.256,573.089,0.925724,3.9,3.6225,182.621
Normal,454.15,,206.071,690.517,1.00777,4,90.25,,251.272,562.031,0.926105,4.92046,90.1525,,457.915,1246.05,1.42909,-1,-1,,102.658,120.365,0.588509,1.96819,89.275,,312.287,804.382,1.14705,-1,-1,,357.31,675.897,1.05257,-1,-1,,565.671,1359.91,1.55556,-1,-1,,2,2,251.272,562.031,0.926105,3.9,3.73976,182.621
Normal,464.389,,206.071,690.517,1.00473,4,90.25,,254.308,568.768,0.928558,4.98347,90.1525,,460.952,1252.79,1.42854,-1,-1,,103.942,121.808,0.589035,1.99339,89.275,,313.587,805.825,1.14457,-1,-1,,361.672,684.076,1.05558,-1,-1,,570.032,1368.09,1.55556,-1,-1,,2,2,254.308,568.768,0.928558,3.9,3.9459,182.621
Normal,474.309,,206.071,690.517,1.00328,4,90.25,,249.559,558.229,0.919685,4.88494,90.1525,,456.202,1242.25,1.41823,-1,-1,,116.822,136.283,0.599329,2.24707,89.275,,326.626,820.299,1.15343,-1,-1,,369.922,688.012,1.05701,-1,-1,,578.282,1372.03,1.55556,-1,-1,,2,2,249.559,558.229,0.919685,3.9,3.62999,182.621
Normal,484.538,,206.071,690.517,1.00575,4,90.25,,251.197,561.864,0.924341,4.9189,90.1525,,457.84,1245.88,1.42533,-1,-1,,107.633,125.956,0.592253,2.06594,89.275,,317.324,809.973,1.1488,-1,-1,,362.271,681.321,1.05457,-1,-1,,570.631,1365.34,1.55556,-1,-1,,2,2,251.197,561.864,0.924341,3.9,3.69406,182.621
Normal,494.55,,206.071,690.517,1.00527,4,90.25,,249.623,558.372,0.921393,4.88627,90.1525,,456.266,1242.39,1.4219,-1,-1,,111.9,130.752,0.595674,2.14996,89.275,,321.644,814.769,1.15174,-1,-1,,365.004,682.624,1.05505,-1,-1,,573.364,1366.64,1.55556,-1,-1,,2,2,249.623,558.372,0.921393,3.9,3.47404,182.621
Normal,504.43,,206.071,690.517,1.01039,4,90.25,,249.947,559.091,0.926072,4.89299,90.1525,,456.59,1243.11,1.43166,-1,-1,,99.0416,116.301,0.585964,1.89728,89.275,,308.626,800.318,1.14711,-1,-1,,352.313,668.893,1.04997,-1,-1,,560.674,1352.91,1.55556,-1,-1,,2,2,249.947,559.091,0.926072,3.9,3.33888,182.621
Normal,514.587,,206.071,690.517,1.00081,4,90.25,,252.013,563.676,0.921635,4.93583,90.1525,,458.656,1247.69,1.41773,-1,-1,,118.007,137.614,0.599807,2.27048,89.275,,327.826,821.631,1.15146,-1,-1,,373.596,694.79,1.05946,-1,-1,,581.956,1378.81,1.55556,-1,-1,,2,2,252.013,563.676,0.921635,3.9,3.36659,182.621
Normal,524.513,,206.071,690.517,1.00764,4,90.25,,251.398,562.31,0.926207,4.92306,90.1525,,458.041,1246.33,1.42907,-1,-1,,102.71,120.424,0.588531,1.96922,89.275,,312.34,804.441,1.14695,-1,-1,,357.49,676.234,1.05269,-1,-1,,565.85,1360.25,1.55556,-1,-1,,2,2,251.398,562.31,0.926207,3.9,3.13619,182.621
Normal,534.979,,206.071,690.517,1.00025,4,90.25,,255.526,571.47,0.926825,5.00877,90.1525,,462.169,1255.49,1.42236,-1,-1,,112.443,131.361,0.595165,2.16065,89.275,,322.193,815.378,1.14626,-1,-1,,371.506,696.332,1.06002,-1,-1,,579.866,1380.35,1.55556,-1,-1,,2,2,255.526,571.47,0.926825,3.9,3.42045,182.621
Normal,545.114,,206.071,690.517,1.01311,4,90.25,,250.192,559.635,0.928672,4.89807,90.1525,,456.835,1243.65,1.43695,-1,-1,,92.193,108.605,0.580702,1.76331,89.275,,301.693,792.622,1.14453,-1,-1,,345.627,661.74,1.04728,-1,-1,,553.987,1345.76,1.55556,-1,-1,,2,2,250.192,559.635,0.928672,3.9,3.34685,182.621
Normal,555.272,,206.071,690.517,1.00118,4,90.25,,256.645,573.953,0.929401,5.03203,90.1525,,463.288,1257.97,1.42587,-1,-1,,107.942,126.303,0.591672,2.07201,89.275,,317.636,810.32,1.14369,-1,-1,,368.078,693.756,1.05909,-1,-1,,576.438,1377.77,1.55556,-1,-1,,2,2,256.645,573.953,0.929401,3.9,3.36958,182.621
Normal,564.559,,206.071,690.517,1.00981,4,90.25,,251.341,562.184,0.927883,4.92189,90.1525,,457.984,1246.2,1.4329,-1,-1,,97.6652,114.754,0.584724,1.87032,89.275,,307.233,798.771,1.14529,-1,-1,,352.325,670.439,1.05054,-1,-1,,560.686,1354.46,1.55556,-1,-1,,2,2,251.341,562.184,0.927883,3.9,2.49815,182.621
Normal,574.466,,206.071,690.517,0.999064,4,90.25,,253.758,567.547,0.923009,4.97204,90.1525,,460.401,1251.56,1.41737,-1,-1,,118.85,138.561,0.600144,2.28714,89.275,,328.679,822.578,1.15006,-1,-1,,376.209,699.608,1.06119,-1,-1,,584.569,1383.62,1.55556,-1,-1,,2,2,253.758,567.547,0.923009,3.9,2.34855,182.621
Normal,584.447,,206.071,690.517,1.00152,4,90.25,,256.301,573.19,0.929128,5.02488,90.1525,,462.945,1257.21,1.42593,-1,-1,,107.792,126.135,0.591612,2.06907,89.275,,317.485,810.152,1.14397,-1,-1,,367.579,692.825,1.05875,-1,-1,,575.94,1376.84,1.55556,-1,-1,,2,2,256.301,573.19,0.929128,3.9,2.18021,182.621
Normal,594.807,,206.071,690.517,1.0158,4,90.25,,249.666,558.468,0.929982,4.88717,90.1525,,456.309,1242.49,1.44093,-1,-1,,86.9812,102.748,0.57675,1.66164,89.275,,296.417,786.765,1.14325,-1,-1,,339.82,654.716,1.04461,-1,-1,,548.181,1338.73,1.55556,-1,-1,,2,2,249.666,558.468,0.929982,3.9,2.30964,182.621
Normal,604.563,,206.071,690.517,1.00632,4,90.25,,252.709,565.219,0.92727,4.95026,90.1525,,459.352,1249.24,1.42883,-1,-1,,103.265,121.048,0.588759,1.98011,89.275,,312.902,805.065,1.14587,-1,-1,,359.374,679.766,1.054,-1,-1,,567.734,1363.78,1.55556,-1,-1,,2,2,252.709,565.219,0.92727,3.9,1.96456,182.621
Normal,614.298,,206.071,690.517,1.00232,4,90.25,,254.626,569.473,0.927087,4.99007,90.1525,,461.269,1253.49,1.42468,-1,-1,,109.152,127.663,0.592869,2.09583,89.275,,318.862,811.68,1.14602,-1,-1,,367.267,690.637,1.05796,-1,-1,,575.627,1374.65,1.55556,-1,-1,,2,2,254.626,569.473,0.927087,3.9,1.68053,182.621
Normal,624.681,,206.071,690.517,1.00341,4,90.25,,254.396,568.963,0.927612,4.98529,90.1525,,461.039,1252.98,1.42628,-1,-1,,106.963,125.204,0.591277,2.05277,89.275,,316.646,809.221,1.1455,-1,-1,,364.819,687.666,1.05689,-1,-1,,573.179,1371.68,1.55556,-1,-1,,2,2,254.396,568.963,0.927612,3.9,1.83346,182.621
Normal,634.924,,206.071,690.517,1.0068,4,90.25,,252.237,564.172,0.926888,4.94047,90.1525,,458.88,1248.19,1.42891,-1,-1,,103.065,120.823,0.588677,1.97619,89.275,,312.7,804.84,1.14626,-1,-1,,358.696,678.495,1.05353,-1,-1,,567.056,1362.51,1.55556,-1,-1,,2,2,252.237,564.172,0.926888,3.9,1.95583,182.621
Normal,645.435,,206.071,690.517,1.00584,4,90.25,,254.021,568.131,0.929008,4.97751,90.1525,,460.665,1252.15,1.43009,-1,-1,,101.831,119.436,0.587493,1.95196,89.275,,311.45,803.453,1.14413,-1,-1,,359.245,681.067,1.05448,-1,-1,,567.605,1365.08,1.55556,-1,-1,,2,2,254.021,568.131,0.929008,3.9,2.22089,182.621
Normal,655.475,,206.071,690.517,1.00423,4,90.25,,254.81,569.881,0.928961,4.99389,90.1525,,461.453,1253.9,1.42845,-1,-1,,104.154,122.046,0.589121,1.99756,89.275,,313.802,806.063,1.14416,-1,-1,,362.392,685.428,1.05607,-1,-1,,570.753,1369.44,1.55556,-1,-1,,2,2,254.81,569.881,0.928961,3.9,2.24799,182.621
Normal,666.547,,206.071,690.517,1.00709,4,90.25,,254.059,568.216,0.930099,4.9783,90.1525,,460.703,1252.23,1.43242,-1,-1,,98.7599,115.985,0.585175,1.89176,89.275,,308.341,800.002,1.14305,-1,-1,,356.175,677.7,1.05324,-1,-1,,564.535,1361.72,1.55556,-1,-1,,2,2,254.059,568.216,0.930099,3.9,3.27622,182.621
