471.841,Unsorted:,1.8177/265.055/481.79,1.46711/244.017/358.001,1.64492/507.927/835.497,1.13709/269.275/306.191,1.46942/533.204/783.502,1.28779/512.152/659.545,1.5743/722.689/1137.73,
471.842,Selected:,4,-1,5,Total:1002.31/1389.85,OK,CLA:490.156/730.303,UUV:0,Config:4,true

486.94,Unsorted:,1.7832/274.323/489.174,1.51212/217.243/328.496,1.65855/490.418/813.382,1.14966/237.536/273.086,1.48377/510.717/757.788,1.31592/453.638/596.951,1.5998/676.665/1082.53,
486.941,Unsorted:,1.88516/186.614/351.798,1.50279/231.035/347.196,1.66806/416.494/694.737,1.13954/214.763/244.732,1.47949/400.205/592.099,1.32084/444.641/587.3,1.48605/629.561/935.557,
486.941,Unsorted:,1.8177/265.055/481.79,1.46711/244.017/358.001,1.64492/507.927/835.497,1.13709/269.275/306.191,1.46942/533.204/783.502,1.28779/512.152/659.545,1.5743/722.689/1137.73,
486.942,Selected:,0,3,5,Total:1001.24/1393.45,OK,CLA:274.323/489.174,UUV:0,Config:0,true

497.317,Unsorted:,1.78875/264.845/473.741,1.51612/211.821/321.145,1.66263/475.514/790.604,1.15191/232.637/267.976,1.48539/496.336/737.25,1.31846/443.314/584.493,1.60222/658.241/1054.64,
497.317,Unsorted:,1.88516/186.614/351.798,1.50279/231.035/347.196,1.66806/416.494/694.737,1.13954/214.763/244.732,1.47949/400.205/592.099,1.32084/444.641/587.3,1.48605/629.561/935.557,
497.317,Unsorted:,1.8177/265.055/481.79,1.46711/244.017/358.001,1.64492/507.927/835.497,1.13709/269.275/306.191,1.46942/533.204/783.502,1.28779/512.152/659.545,1.5743/722.689/1137.73,
497.319,Selected:,4,-1,5,Total:1008.49/1396.8,OK,CLA:496.336/737.25,UUV:0,Config:4,true

505.201,Unsorted:,1.78875/264.845/473.741,1.51612/211.821/321.145,1.66263/475.514/790.604,1.15191/232.637/267.976,1.48539/496.336/737.25,1.31846/443.314/584.493,1.60222/658.241/1054.64,
505.201,Unsorted:,1.88516/186.614/351.798,1.50279/231.035/347.196,1.66806/416.494/694.737,1.13954/214.763/244.732,1.47949/400.205/592.099,1.32084/444.641/587.3,1.48605/629.561/935.557,
505.201,Unsorted:,1.8177/265.055/481.79,1.46904/240.689/353.581,1.64701/504.598/831.079,1.14208/255.718/292.05,1.48056/519.644/769.365,1.29424/495.264/640.99,1.5834/706.822/1119.18,
505.203,Selected:,5,5,3,Total:1143.67/1463.84,OK,CLA:443.314/584.493,UUV:0,Config:5,true

535.371,Unsorted:,1.78875/264.845/473.741,1.51612/211.821/321.145,1.66263/475.514/790.604,1.15191/232.637/267.976,1.48539/496.336/737.25,1.31846/443.314/584.493,1.60222/658.241/1054.64,
535.371,Unsorted:,1.88516/186.614/351.798,1.50279/231.035/347.196,1.66806/416.494/694.737,1.13954/214.763/244.732,1.47949/400.205/592.099,1.32084/444.641/587.3,1.48605/629.561/935.557,
535.371,Unsorted:,1.8177/265.055/481.79,1.46797/242.528/356.024,1.64585/506.438/833.521,1.1371/269.244/306.158,1.46945/533.173/783.47,1.28769/510.632/657.536,1.57458/721.283/1135.72,
535.373,Selected:,4,-1,5,Total:1006.97/1394.79,OK,CLA:496.336/737.25,UUV:0,Config:4,true

