23.9537,LCA_ZEUS,32.863
23.9543,Send_ZEUS,,0.026
25.4745,Receive_ZEUS,,0.33
25.9791,Receive_ZEUS,,0.149
29.0038,Selection_ZEUS,,,1.544
37.1048,Control_ZEUS,,,,24.032
37.1069,Changes?_ZEUS,,,,,0.287
37.9835,Control_ZEUS,,,,2.755
37.9851,Changes?_ZEUS,,,,,0.117
42.8988,Control_ZEUS,,,,2.537
42.8994,Changes?_ZEUS,,,,,0.09
48.003,Control_ZEUS,,,,2.559
48.0036,Changes?_ZEUS,,,,,0.061
53.1983,Control_ZEUS,,,,2.608
53.1988,Changes?_ZEUS,,,,,0.056
58.4761,Control_ZEUS,,,,2.845
58.4768,Changes?_ZEUS,,,,,0.082
63.3669,Control_ZEUS,,,,2.583
63.3675,Changes?_ZEUS,,,,,0.068
68.4915,Control_ZEUS,,,,2.613
68.4922,Changes?_ZEUS,,,,,0.089
73.6307,Control_ZEUS,,,,2.434
73.6315,Changes?_ZEUS,,,,,0.103
78.8929,Control_ZEUS,,,,2.64
78.894,Changes?_ZEUS,,,,,0.109
84.2161,Control_ZEUS,,,,2.484
84.2167,Changes?_ZEUS,,,,,0.064
89.1982,Control_ZEUS,,,,2.601
89.1989,Changes?_ZEUS,,,,,0.069
94.7525,Control_ZEUS,,,,3.243
94.7595,Changes?_ZEUS,,,,,0.345
100.452,Control_ZEUS,,,,3.683
100.453,Changes?_ZEUS,,,,,0.066
104.626,Control_ZEUS,,,,3.212
104.626,Changes?_ZEUS,,,,,0.055
109.745,Control_ZEUS,,,,2.604
109.746,Changes?_ZEUS,,,,,0.068
115.033,Control_ZEUS,,,,2.906
115.034,Changes?_ZEUS,,,,,0.082
119.863,Control_ZEUS,,,,2.594
119.864,Changes?_ZEUS,,,,,0.063
125.111,Control_ZEUS,,,,2.441
125.112,Changes?_ZEUS,,,,,0.085
130.181,Control_ZEUS,,,,2.548
130.182,Changes?_ZEUS,,,,,0.081
135.051,Control_ZEUS,,,,2.439
135.051,Changes?_ZEUS,,,,,0.065
140.541,Control_ZEUS,,,,2.995
140.541,Changes?_ZEUS,,,,,0.079
145.395,Control_ZEUS,,,,2.601
145.395,Changes?_ZEUS,,,,,0.074
