26.3054,LCA_HERMES,32.755
26.3059,Send_HERMES,,0.03
28.0799,Receive_HERMES,,0.449
28.0807,Receive_HERMES,,0.156
31.346,Selection_HERMES,,,1.002
39.0597,Control_HERMES,,,,22.091
39.0608,Changes?_HERMES,,,,,0.238
42.1547,Control_HERMES,,,,2.574
42.1553,Changes?_HERMES,,,,,0.051
52.4465,Control_HERMES,,,,2.691
52.4471,Changes?_HERMES,,,,,0.072
62.3535,Control_HERMES,,,,2.579
62.3543,Changes?_HERMES,,,,,0.084
72.4288,Control_HERMES,,,,2.502
72.4294,Changes?_HERMES,,,,,0.077
82.6642,Control_HERMES,,,,2.443
82.6657,Changes?_HERMES,,,,,0.082
92.8711,Control_HERMES,,,,2.786
92.8719,Changes?_HERMES,,,,,0.07
102.955,Control_HERMES,,,,2.352
102.956,Changes?_HERMES,,,,,0.072
113.074,Control_HERMES,,,,2.523
113.075,Changes?_HERMES,,,,,0.076
123.258,Control_HERMES,,,,2.603
123.258,Changes?_HERMES,,,,,0.059
133.729,Control_HERMES,,,,2.867
133.73,Changes?_HERMES,,,,,0.078
143.582,Control_HERMES,,,,2.461
143.582,Changes?_HERMES,,,,,0.071
153.707,Control_HERMES,,,,2.802
153.708,Changes?_HERMES,,,,,0.068
163.824,Control_HERMES,,,,2.397
163.825,Changes?_HERMES,,,,,0.088
174.157,Control_HERMES,,,,2.874
174.157,Changes?_HERMES,,,,,0.073
183.854,Control_HERMES,,,,2.405
183.855,Changes?_HERMES,,,,,0.052
194.086,Control_HERMES,,,,2.399
194.086,Changes?_HERMES,,,,,0.062
204.29,Control_HERMES,,,,2.487
204.291,Changes?_HERMES,,,,,0.061
214.518,Control_HERMES,,,,2.42
214.518,Changes?_HERMES,,,,,0.078
224.739,Control_HERMES,,,,2.458
224.74,Changes?_HERMES,,,,,0.09
234.739,Control_HERMES,,,,2.524
234.739,Changes?_HERMES,,,,,0.074
244.79,Control_HERMES,,,,2.42
244.79,Changes?_HERMES,,,,,0.06
254.753,Control_HERMES,,,,2.362
254.754,Changes?_HERMES,,,,,0.061
265.309,Control_HERMES,,,,2.825
265.31,Changes?_HERMES,,,,,0.133
274.967,Control_HERMES,,,,2.434
274.967,Changes?_HERMES,,,,,0.062
285.216,Control_HERMES,,,,2.396
285.217,Changes?_HERMES,,,,,0.066
295.464,Control_HERMES,,,,2.66
295.465,Changes?_HERMES,,,,,0.083
305.723,Control_HERMES,,,,2.967
305.724,Changes?_HERMES,,,,,0.077
315.949,Control_HERMES,,,,2.346
315.95,Changes?_HERMES,,,,,0.074
326.087,Control_HERMES,,,,2.278
326.087,Changes?_HERMES,,,,,0.067
336.265,Control_HERMES,,,,2.292
336.265,Changes?_HERMES,,,,,0.054
