26.3236,LCA_APOLLO,35.62,,,,
26.3241,Send_APOLLO,,0.022,,,
27.8499,Receive_APOLLO,,0.356,,,
27.8517,Receive_APOLLO,,0.1,,,
31.382,Selection_APOLLO,,,1.047,,
39.1162,Control_APOLLO,,,,23.13,
39.117,Changes?_APOLLO,,,,,0.183
42.2509,Control_APOLLO,,,,3.168,
42.2515,Changes?_APOLLO,,,,,0.068
52.4388,Control_APOLLO,,,,2.808,
52.4397,Changes?_APOLLO,,,,,0.126
62.4087,Control_APOLLO,,,,2.679,
62.4093,Changes?_APOLLO,,,,,0.073
72.6368,Control_APOLLO,,,,2.536,
72.6373,Changes?_APOLLO,,,,,0.062
82.8753,Control_APOLLO,,,,2.52,
82.8759,Changes?_APOLLO,,,,,0.076
93.1407,Control_APOLLO,,,,2.742,
93.1414,Changes?_APOLLO,,,,,0.07
103.227,Control_APOLLO,,,,2.279,
103.227,Changes?_APOLLO,,,,,0.083
113.725,Control_APOLLO,,,,3.308,
113.725,Changes?_APOLLO,,,,,0.056
123.416,Control_APOLLO,,,,2.675,
123.417,Changes?_APOLLO,,,,,0.066
133.758,Control_APOLLO,,,,3.37,
133.758,Changes?_APOLLO,,,,,0.054
143.643,Control_APOLLO,,,,2.361,
143.644,Changes?_APOLLO,,,,,0.076
153.819,Control_APOLLO,,,,2.768,
153.82,Changes?_APOLLO,,,,,0.077
164.019,Control_APOLLO,,,,2.621,
164.019,Changes?_APOLLO,,,,,0.083
174.279,Control_APOLLO,,,,2.562,
174.279,Changes?_APOLLO,,,,,0.087
184.276,Control_APOLLO,,,,2.259,
184.277,Changes?_APOLLO,,,,,0.056
194.35,Control_APOLLO,,,,2.357,
194.35,Changes?_APOLLO,,,,,0.059
204.439,Control_APOLLO,,,,2.337,
204.44,Changes?_APOLLO,,,,,0.09
214.516,Control_APOLLO,,,,2.403,
214.518,Changes?_APOLLO,,,,,0.128
224.631,Control_APOLLO,,,,2.378,
224.631,Changes?_APOLLO,,,,,0.065
234.725,Control_APOLLO,,,,2.408,
234.726,Changes?_APOLLO,,,,,0.094
244.853,Control_APOLLO,,,,2.571,
244.854,Changes?_APOLLO,,,,,0.068
254.914,Control_APOLLO,,,,2.325,
254.914,Changes?_APOLLO,,,,,0.082
265.387,Control_APOLLO,,,,3.201,
265.387,Changes?_APOLLO,,,,,0.086
275.169,Control_APOLLO,,,,2.207,
275.169,Changes?_APOLLO,,,,,0.079
285.243,Control_APOLLO,,,,2.256,
285.244,Changes?_APOLLO,,,,,0.074
295.352,Control_APOLLO,,,,2.225,
295.352,Changes?_APOLLO,,,,,0.08
305.517,Control_APOLLO,,,,2.749,
305.517,Changes?_APOLLO,,,,,0.08
318.854,Control_APOLLO,,,,19.324,
318.855,Changes?_APOLLO,,,,,0.055
325.674,Control_APOLLO,,,,2.85,
325.674,Changes?_APOLLO,,,,,0.079
335.665,Control_APOLLO,,,,2.264,
335.666,Changes?_APOLLO,,,,,0.079
346.016,Control_APOLLO,,,,2.729,
346.017,Changes?_APOLLO,,,,,0.068
356.01,Control_APOLLO,,,,2.278,
356.011,Changes?_APOLLO,,,,,0.05
366.249,Control_APOLLO,,,,2.234,
366.25,Changes?_APOLLO,,,,,0.107
376.523,Control_APOLLO,,,,2.179,
376.524,Changes?_APOLLO,,,,,0.06
386.536,Control_APOLLO,,,,2.373,
386.537,Changes?_APOLLO,,,,,0.06
396.779,Control_APOLLO,,,,2.139,
396.78,Changes?_APOLLO,,,,,0.047
410.311,Control_APOLLO,,,,19.262,
410.311,Changes?_APOLLO,,,,,0.053
417.004,Control_APOLLO,,,,2.169,
417.004,Changes?_APOLLO,,,,,0.049
427.224,Control_APOLLO,,,,2.105,
427.224,Changes?_APOLLO,,,,,0.05
437.613,Control_APOLLO,,,,2.483,
437.614,Changes?_APOLLO,,,,,0.099
447.655,Control_APOLLO,,,,2.296,
447.655,Changes?_APOLLO,,,,,0.075
457.751,Control_APOLLO,,,,3.194,
457.751,Changes?_APOLLO,,,,,0.06
467.76,Control_APOLLO,,,,2.349,
467.761,Changes?_APOLLO,,,,,0.075
477.784,Control_APOLLO,,,,2.759,
477.785,Changes?_APOLLO,,,,,0.055
487.749,Control_APOLLO,,,,2.081,
487.75,Changes?_APOLLO,,,,,0.049
498.002,Control_APOLLO,,,,2.197,
498.002,Changes?_APOLLO,,,,,0.051
507.997,Control_APOLLO,,,,2.246,
507.998,Changes?_APOLLO,,,,,0.093
518.01,Control_APOLLO,,,,2.316,
518.01,Changes?_APOLLO,,,,,0.05
528.007,Control_APOLLO,,,,2.282,
528.008,Changes?_APOLLO,,,,,0.073
538.242,Control_APOLLO,,,,2.258,
538.243,Changes?_APOLLO,,,,,0.047
548.489,Control_APOLLO,,,,2.168,
548.489,Changes?_APOLLO,,,,,0.051
558.712,Control_APOLLO,,,,2.278,
558.712,Changes?_APOLLO,,,,,0.05
568.936,Control_APOLLO,,,,2.187,
568.937,Changes?_APOLLO,,,,,0.051
579.183,Control_APOLLO,,,,2.297,
579.183,Changes?_APOLLO,,,,,0.05
589.526,Control_APOLLO,,,,3.336,
589.527,Changes?_APOLLO,,,,,0.064
599.551,Control_APOLLO,,,,2.356,
599.551,Changes?_APOLLO,,,,,0.084
609.568,Control_APOLLO,,,,2.277,
609.569,Changes?_APOLLO,,,,,0.099
619.541,Control_APOLLO,,,,2.178,
619.542,Changes?_APOLLO,,,,,0.067
629.81,Control_APOLLO,,,,2.653,
629.81,Changes?_APOLLO,,,,,0.072
639.795,Control_APOLLO,,,,2.186,
639.796,Changes?_APOLLO,,,,,0.057
649.999,Control_APOLLO,,,,2.359,
649.999,Changes?_APOLLO,,,,,0.054
660.241,Control_APOLLO,,,,2.406,
660.241,Changes?_APOLLO,,,,,0.055
670.224,Control_APOLLO,,,,2.162,
670.224,Changes?_APOLLO,,,,,0.057
680.466,Control_APOLLO,,,,2.302,
680.467,Changes?_APOLLO,,,,,0.05
690.684,Control_APOLLO,,,,2.229,
690.685,Changes?_APOLLO,,,,,0.05
700.927,Control_APOLLO,,,,2.385,
700.928,Changes?_APOLLO,,,,,0.104
711.195,Control_APOLLO,,,,2.492,
711.195,Changes?_APOLLO,,,,,0.052
721.499,Control_APOLLO,,,,3.196,
721.5,Changes?_APOLLO,,,,,0.053
731.488,Control_APOLLO,,,,2.308,
731.489,Changes?_APOLLO,,,,,0.049
741.507,Control_APOLLO,,,,2.183,
741.507,Changes?_APOLLO,,,,,0.077
751.518,Control_APOLLO,,,,2.253,
751.518,Changes?_APOLLO,,,,,0.05
761.583,Control_APOLLO,,,,3.056,
761.584,Changes?_APOLLO,,,,,0.048
771.57,Control_APOLLO,,,,2.131,
771.571,Changes?_APOLLO,,,,,0.074
781.828,Control_APOLLO,,,,2.471,
781.829,Changes?_APOLLO,,,,,0.049
791.836,Control_APOLLO,,,,2.38,
791.837,Changes?_APOLLO,,,,,0.068
801.861,Control_APOLLO,,,,2.511,
801.862,Changes?_APOLLO,,,,,0.076
812.066,Control_APOLLO,,,,2.444,
812.066,Changes?_APOLLO,,,,,0.05
822.29,Control_APOLLO,,,,2.051,
822.291,Changes?_APOLLO,,,,,0.057
832.505,Control_APOLLO,,,,2.182,
832.505,Changes?_APOLLO,,,,,0.05
842.746,Control_APOLLO,,,,2.268,
842.746,Changes?_APOLLO,,,,,0.085
852.752,Control_APOLLO,,,,2.171,
852.753,Changes?_APOLLO,,,,,0.049
862.996,Control_APOLLO,,,,2.248,
862.997,Changes?_APOLLO,,,,,0.051
873.23,Control_APOLLO,,,,2.228,
873.231,Changes?_APOLLO,,,,,0.059
883.466,Control_APOLLO,,,,2.31,
883.467,Changes?_APOLLO,,,,,0.079
893.755,Control_APOLLO,,,,2.663,
893.756,Changes?_APOLLO,,,,,0.065
903.727,Control_APOLLO,,,,2.258,
903.728,Changes?_APOLLO,,,,,0.051
913.968,Control_APOLLO,,,,2.197,
913.969,Changes?_APOLLO,,,,,0.061
924.204,Control_APOLLO,,,,2.235,
924.205,Changes?_APOLLO,,,,,0.063
934.432,Control_APOLLO,,,,2.259,
934.432,Changes?_APOLLO,,,,,0.058
944.457,Control_APOLLO,,,,2.329,
944.458,Changes?_APOLLO,,,,,0.058
954.48,Control_APOLLO,,,,2.11,
954.481,Changes?_APOLLO,,,,,0.052
964.499,Control_APOLLO,,,,2.213,
964.499,Changes?_APOLLO,,,,,0.075
974.542,Control_APOLLO,,,,2.263,
974.543,Changes?_APOLLO,,,,,0.07
984.575,Control_APOLLO,,,,2.146,
984.576,Changes?_APOLLO,,,,,0.051
994.615,Control_APOLLO,,,,2.187,
994.616,Changes?_APOLLO,,,,,0.053
1008.49,Control_APOLLO,,,,19.727,
1008.49,Changes?_APOLLO,,,,,0.048
1017.88,Control_APOLLO,,,,19.704,
1017.88,Changes?_APOLLO,,,,,0.052
1021.01,LCA,17.414,,,,
1021.01,Send_APOLLO,,0.016,,,
1026.05,Selection_APOLLO,,,0.765,,
1029.25,Control_APOLLO,,,,16.24,
1029.25,Changes?_APOLLO,,,,,0.06
1036.41,Control_APOLLO,,,,2.541,
1036.41,Changes?_APOLLO,,,,,0.074
1046.63,Control_APOLLO,,,,2.631,
1046.63,Changes?_APOLLO,,,,,0.062
1056.84,Control_APOLLO,,,,2.393,
1056.84,Changes?_APOLLO,,,,,0.064
1067.07,Control_APOLLO,,,,2.515,
1067.07,Changes?_APOLLO,,,,,0.064
1077.29,Control_APOLLO,,,,2.57,
1077.29,Changes?_APOLLO,,,,,0.049
1087.42,Control_APOLLO,,,,2.185,
1087.42,Changes?_APOLLO,,,,,0.052
1097.71,Control_APOLLO,,,,3.055,
1097.71,Changes?_APOLLO,,,,,0.061
1107.72,Control_APOLLO,,,,2.394,
1107.72,Changes?_APOLLO,,,,,0.078
1117.92,Control_APOLLO,,,,2.339,
1117.92,Changes?_APOLLO,,,,,0.06
1128.11,Control_APOLLO,,,,2.218,
1128.11,Changes?_APOLLO,,,,,0.077
1138.33,Control_APOLLO,,,,2.218,
1138.33,Changes?_APOLLO,,,,,0.074
1148.6,Control_APOLLO,,,,2.67,
1148.6,Changes?_APOLLO,,,,,0.09
1151.91,LCA,18.517,,,,
1151.91,Send_APOLLO,,0.016,,,
1156.95,Selection_APOLLO,,,1.159,,
1163.5,Control_APOLLO,,,,20.367,
1163.5,Changes?_APOLLO,,,,,0.065
1168.99,Control_APOLLO,,,,2.238,
1168.99,Changes?_APOLLO,,,,,0.051
1179,Control_APOLLO,,,,2.318,
1179,Changes?_APOLLO,,,,,0.054
1189.07,Control_APOLLO,,,,2.229,
1189.07,Changes?_APOLLO,,,,,0.06
1199.09,Control_APOLLO,,,,2.194,
1199.09,Changes?_APOLLO,,,,,0.058
1209.14,Control_APOLLO,,,,2.344,
1209.14,Changes?_APOLLO,,,,,0.065
1219.16,Control_APOLLO,,,,2.295,
