s, r2, r3, Result
2.0, 3.9050000000000002, 4.6049999999999995, 462.8989230528249
2.0, 3.9050000000000002, 4.654999999999999, 465.4653469908822
2.0, 3.9250000000000003, 4.305, 448.48235622338007
2.0, 3.9250000000000003, 4.3549999999999995, 451.0663728782197
2.0, 3.9250000000000003, 4.404999999999999, 453.6474448757296
2.0, 3.9250000000000003, 4.455, 456.22557724643764
2.0, 3.9250000000000003, 4.505, 458.8007724587674
2.0, 3.9250000000000003, 4.555, 461.3730406193991
2.0, 3.9250000000000003, 4.6049999999999995, 463.9423841762951
2.0, 3.9250000000000003, 4.654999999999999, 466.5088054665411
2.0, 3.9450000000000003, 4.305, 449.52533920516913
2.0, 3.9450000000000003, 4.3549999999999995, 452.10935585999067
2.0, 3.9450000000000003, 4.404999999999999, 454.69042785751924
2.0, 3.9450000000000003, 4.455, 457.26855767828357
2.0, 3.9450000000000003, 4.505, 459.84375543886273
2.0, 3.9450000000000003, 4.555, 462.41602359949457
2.0, 3.9450000000000003, 4.6049999999999995, 464.9853671563717
2.0, 3.9450000000000003, 4.654999999999999, 467.5517884448734
2.0, 3.9650000000000003, 4.305, 450.5678443720867
2.0, 3.9650000000000003, 4.3549999999999995, 453.1518610269278
2.0, 3.9650000000000003, 4.404999999999999, 455.73293302445586
2.0, 3.9650000000000003, 4.455, 458.3110628435392
2.0, 3.9650000000000003, 4.505, 460.88626060413725
2.0, 3.9650000000000003, 4.555, 463.45852876474925
2.0, 3.9650000000000003, 4.6049999999999995, 466.0278723216452
2.0, 3.9650000000000003, 4.654999999999999, 468.59429360841597
2.0, 3.9850000000000003, 4.305, 451.6098720524367
2.0, 3.9850000000000003, 4.3549999999999995, 454.1938887072785
2.0, 3.9850000000000003, 4.404999999999999, 456.7749607048056
2.0, 3.9850000000000003, 4.455, 459.3530905222572
2.0, 3.9850000000000003, 4.505, 461.9282882828531
2.0, 3.9850000000000003, 4.555, 464.5005564434656
2.0, 3.9850000000000003, 4.6049999999999995, 467.0698973493144
2.0, 3.9850000000000003, 4.654999999999999, 469.63632128543105
2.0, 4.005, 4.305, 452.6514225741462
2.0, 4.005, 4.3549999999999995, 455.2354392290056
2.0, 4.005, 4.404999999999999, 457.81650867419916
2.0, 4.005, 4.455, 460.3946410423816
2.0, 4.005, 4.505, 462.9698388029789
2.0, 4.005, 4.555, 465.54210696357325
2.0, 4.005, 4.6049999999999995, 468.1114478677699
2.0, 4.005, 4.654999999999999, 470.6778718038657
2.0, 4.025, 4.305, 453.69249626492115
2.0, 4.025, 4.3549999999999995, 456.27651291978196
2.0, 4.025, 4.404999999999999, 458.8575823633809
2.0, 4.025, 4.455, 461.4357147315843
2.0, 4.025, 4.505, 464.0109124921625
2.0, 4.025, 4.555, 466.5831780005524
2.0, 4.025, 4.6049999999999995, 469.1525215553325
2.0, 4.025, 4.654999999999999, 471.71894549140546
2.0, 4.045, 4.305, 454.73309345210674
2.0, 4.045, 4.3549999999999995, 457.3171075541809
2.0, 4.045, 4.404999999999999, 459.8981795490231
2.0, 4.045, 4.455, 462.4763119172249
2.0, 4.045, 4.505, 465.0515096778021
2.0, 4.045, 4.555, 467.62377518458413
2.0, 4.045, 4.6049999999999995, 470.19311873934436
2.0, 4.045, 4.654999999999999, 472.75954267544023
2.0, 4.065, 4.305, 455.7732144627732
2.0, 4.065, 4.3549999999999995, 458.3572285633114
2.0, 4.065, 4.404999999999999, 460.93830055817403
2.0, 4.065, 4.455, 463.5164329263566
2.0, 4.065, 4.505, 466.09162803382094
2.0, 4.065, 4.555, 468.6638961921567
2.0, 4.065, 4.6049999999999995, 471.2332397468942
2.0, 4.065, 4.654999999999999, 473.7996636830111
2.0, 4.085, 4.305, 456.8128596236848
2.0, 4.085, 4.3549999999999995, 459.3968737227377
2.0, 4.085, 4.404999999999999, 461.97794571759925
2.0, 4.085, 4.455, 464.5560780857635
2.0, 4.085, 4.505, 467.1312731916959
2.0, 4.085, 4.555, 469.7035413500329
2.0, 4.085, 4.6049999999999995, 472.27288490477144
2.0, 4.085, 4.654999999999999, 474.8393088408859
2.0, 4.105, 4.305, 457.85202670689625
2.0, 4.105, 4.3549999999999995, 460.436043358907
2.0, 4.105, 4.404999999999999, 463.0171153537664
2.0, 4.105, 4.455, 465.595247721931
2.0, 4.105, 4.505, 468.17044282634635
2.0, 4.105, 4.555, 470.74271098466056
2.0, 4.105, 4.6049999999999995, 473.3120545394184
2.0, 4.105, 4.654999999999999, 475.8784757179174
2.0, 4.125, 4.305, 458.8907211459574
2.0, 4.125, 4.3549999999999995, 461.4747377979865
