382.392,Unsorted:,1.8177/265.055/481.79,1.46797/242.528/356.024,1.64585/506.438/833.521,1.13961/262.256/298.869,1.47512/526.183/776.182,1.29109/503.642/650.249,1.57891/714.69/1128.43,
382.394,Selected:,4,-1,5,Total:1000.46/1390.89,OK,CLA:496.815/740.642,UUV:0,Config:4,true

442.742,Unsorted:,1.78181/276.806/493.217,1.51832/208.941/317.24,1.66359/484.598/806.171,1.14869/239.708/275.351,1.4826/515.372/764.094,1.31387/447.506/587.963,1.6008/673.149/1077.58,
442.742,Unsorted:,1.88516/186.614/351.798,1.49828/238.354/357.12,1.66265/423.815/704.658,1.1395/214.851/244.822,1.47939/400.293/592.189,1.32134/452.05/597.311,1.48447/636.972/945.567,
442.742,Unsorted:,1.8177/265.055/481.79,1.46797/242.528/356.024,1.64585/506.438/833.521,1.13961/262.256/298.869,1.47512/526.183/776.182,1.29109/503.642/650.249,1.57891/714.69/1128.43,
442.744,Selected:,3,1,4,Total:1004.24/1408.65,OK,CLA:239.708/275.351,UUV:0,Config:3,true

462.035,Unsorted:,1.78581/269.788/481.79,1.5163/211.581/320.82,1.66242/480.219/798.326,1.1526/231.173/266.45,1.48809/499.816/743.771,1.31936/441.61/582.642,1.60441/661.203/1060.84,
462.036,Unsorted:,1.88516/186.614/351.798,1.50384/229.4/344.98,1.66929/414.859/692.521,1.14039/213.233/243.168,1.48125/398.674/590.536,1.32175/441.476/583.521,1.48753/626.395/931.779,
462.036,Unsorted:,1.8177/265.055/481.79,1.46797/242.528/356.024,1.64585/506.438/833.521,1.13961/262.256/298.869,1.47512/526.183/776.182,1.29109/503.642/650.249,1.57891/714.69/1128.43,
462.037,Selected:,4,-1,5,Total:1003.46/1394.02,OK,CLA:499.816/743.771,UUV:0,Config:4,true

469.123,Unsorted:,1.78581/269.788/481.79,1.5163/211.581/320.82,1.66242/480.219/798.326,1.1526/231.173/266.45,1.48809/499.816/743.771,1.31936/441.61/582.642,1.60441/661.203/1060.84,
469.123,Unsorted:,1.88516/186.614/351.798,1.49948/236.35/354.403,1.66412/421.81/701.942,1.13802/217.575/247.604,1.47629/403.018/594.971,1.31938/452.771/597.376,1.4829/637.692/945.632,
469.123,Unsorted:,1.8177/265.055/481.79,1.46797/242.528/356.024,1.64585/506.438/833.521,1.13961/262.256/298.869,1.47512/526.183/776.182,1.29109/503.642/650.249,1.57891/714.69/1128.43,
469.124,Selected:,4,-1,5,Total:1003.46/1394.02,OK,CLA:499.816/743.771,UUV:0,Config:4,true

551.622,Unsorted:,1.78581/269.788/481.79,1.5163/211.581/320.82,1.66242/480.219/798.326,1.1526/231.173/266.45,1.48809/499.816/743.771,1.31936/441.61/582.642,1.60441/661.203/1060.84,
551.622,Unsorted:,1.88516/186.614/351.798,1.49948/236.35/354.403,1.66412/421.81/701.942,1.13802/217.575/247.604,1.47629/403.018/594.971,1.31938/452.771/597.376,1.4829/637.692/945.632,
551.622,Unsorted:,1.8177/265.055/481.79,1.47418/232.214/342.326,1.65247/496.121/819.826,1.14132/257.683/294.1,1.47891/521.61/771.414,1.29265/488.751/631.786,1.58378/700.835/1109.97,
551.624,Selected:,5,3,5,Total:1147.94/1462.03,OK,CLA:441.61/582.642,UUV:0,Config:5,true

562.106,Unsorted:,1.78581/269.788/481.79,1.5163/211.581/320.82,1.66242/480.219/798.326,1.1526/231.173/266.45,1.48809/499.816/743.771,1.31936/441.61/582.642,1.60441/661.203/1060.84,
562.106,Unsorted:,1.88516/186.614/351.798,1.49948/236.35/354.403,1.66412/421.81/701.942,1.13802/217.575/247.604,1.47629/403.018/594.971,1.31938/452.771/597.376,1.4829/637.692/945.632,
562.106,Unsorted:,1.8177/265.055/481.79,1.46719/243.881/357.819,1.645/507.79/835.316,1.13852/265.252/301.995,1.47267/529.181/779.307,1.28972/507.992/655.169,1.5768/718.768/1133.35,
562.108,Selected:,4,-1,5,Total:1007.81/1398.94,OK,CLA:499.816/743.771,UUV:0,Config:4,true

607.246,Unsorted:,1.78581/269.788/481.79,1.5163/211.581/320.82,1.66242/480.219/798.326,1.1526/231.173/266.45,1.48809/499.816/743.771,1.31936/441.61/582.642,1.60441/661.203/1060.84,
607.246,Unsorted:,1.88516/186.614/351.798,1.49948/236.35/354.403,1.66412/421.81/701.942,1.13802/217.575/247.604,1.47629/403.018/594.971,1.31938/452.771/597.376,1.4829/637.692/945.632,
607.246,Unsorted:,1.8177/265.055/481.79,1.4735/233.3/343.768,1.65176/497.207/821.269,1.14087/258.877/295.345,1.47791/522.803/772.658,1.29212/491.032/634.473,1.58281/702.966/1112.66,
607.247,Selected:,5,3,5,Total:1150.22/1464.72,OK,CLA:441.61/582.642,UUV:0,Config:5,true

631.456,Unsorted:,1.78581/269.788/481.79,1.5163/211.581/320.82,1.66242/480.219/798.326,1.1526/231.173/266.45,1.48809/499.816/743.771,1.31936/441.61/582.642,1.60441/661.203/1060.84,
631.456,Unsorted:,1.88516/186.614/351.798,1.49948/236.35/354.403,1.66412/421.81/701.942,1.13802/217.575/247.604,1.47629/403.018/594.971,1.31938/452.771/597.376,1.4829/637.692/945.632,
631.456,Unsorted:,1.8177/265.055/481.79,1.46646/245.161/359.52,1.6442/509.071/837.016,1.14028/260.437/296.972,1.47662/524.364/774.285,1.29218/504.456/651.847,1.57956/715.409/1130.03,
631.457,Selected:,4,-1,5,Total:1004.27/1395.62,OK,CLA:499.816/743.771,UUV:0,Config:4,true

