18.9314,LCA_APOLLO,25.156
18.9319,Send_APOLLO,,0.029
20.4522,Receive_APOLLO,,0.419
20.954,Receive_APOLLO,,0.258
23.976,Selection_APOLLO,,,1.355
29.7448,Control_APOLLO,,,,21.023
29.7456,Changes?_APOLLO,,,,,0.244
30.4202,Control_APOLLO,,,,2.674
30.4206,Changes?_APOLLO,,,,,0.079
35.6609,Control_APOLLO,,,,2.841
35.6612,Changes?_APOLLO,,,,,0.067
40.6266,Control_APOLLO,,,,2.524
40.6272,Changes?_APOLLO,,,,,0.088
45.8766,Control_APOLLO,,,,2.73
45.8772,Changes?_APOLLO,,,,,0.083
51.1533,Control_APOLLO,,,,2.499
51.1537,Changes?_APOLLO,,,,,0.081
56.4599,Control_APOLLO,,,,3.105
56.4603,Changes?_APOLLO,,,,,0.076
61.3198,Control_APOLLO,,,,2.869
61.3203,Changes?_APOLLO,,,,,0.072
66.6796,Control_APOLLO,,,,3.626
66.6801,Changes?_APOLLO,,,,,0.075
71.3761,Control_APOLLO,,,,2.764
71.3766,Changes?_APOLLO,,,,,0.073
76.6233,Control_APOLLO,,,,2.568
76.6237,Changes?_APOLLO,,,,,0.071
81.9759,Control_APOLLO,,,,3.015
81.9764,Changes?_APOLLO,,,,,0.086
86.9584,Control_APOLLO,,,,2.761
86.959,Changes?_APOLLO,,,,,0.082
92.3062,Control_APOLLO,,,,2.656
92.3067,Changes?_APOLLO,,,,,0.074
97.2578,Control_APOLLO,,,,2.653
97.2585,Changes?_APOLLO,,,,,0.073
104.974,Control_APOLLO,,,,19.984
104.975,Changes?_APOLLO,,,,,0.08
107.145,LCA,18.631
107.146,Send_APOLLO,,0.025
112.177,Selection_APOLLO,,,1.211
114.247,Control_APOLLO,,,,16.324
114.247,Changes?_APOLLO,,,,,0.076
117.599,Control_APOLLO,,,,2.416
117.599,Changes?_APOLLO,,,,,0.051
122.701,Control_APOLLO,,,,2.352
122.701,Changes?_APOLLO,,,,,0.07
124.715,Receive_APOLLO,,0.212
129.752,Selection_APOLLO,,,0.922
132.663,Control_APOLLO,,,,17.39
132.664,Changes?_APOLLO,,,,,0.074
134.931,Receive_APOLLO,,0.283
139.97,Selection_APOLLO,,,1.19
142.311,Control_APOLLO,,,,16.412
142.311,Changes?_APOLLO,,,,,0.079
144.352,LCA,17.215
144.352,Send_APOLLO,,0.021
149.388,Selection_APOLLO,,,1.205
151.51,Control_APOLLO,,,,16.645
151.511,Changes?_APOLLO,,,,,0.066
154.801,Control_APOLLO,,,,2.118
154.802,Changes?_APOLLO,,,,,0.05
159.851,Control_APOLLO,,,,2.219
159.852,Changes?_APOLLO,,,,,0.052
164.896,Control_APOLLO,,,,2.171
164.897,Changes?_APOLLO,,,,,0.061
169.942,Control_APOLLO,,,,2.264
169.942,Changes?_APOLLO,,,,,0.049
174.999,Control_APOLLO,,,,2.209
174.999,Changes?_APOLLO,,,,,0.074
180.058,Control_APOLLO,,,,2.273
180.058,Changes?_APOLLO,,,,,0.05
185.133,Control_APOLLO,,,,2.378
185.133,Changes?_APOLLO,,,,,0.066
190.187,Control_APOLLO,,,,2.193
190.187,Changes?_APOLLO,,,,,0.061
195.242,Control_APOLLO,,,,2.074
195.243,Changes?_APOLLO,,,,,0.073
200.301,Control_APOLLO,,,,2.237
200.302,Changes?_APOLLO,,,,,0.05
205.348,Control_APOLLO,,,,2.12
205.348,Changes?_APOLLO,,,,,0.056
210.388,Control_APOLLO,,,,2.114
210.388,Changes?_APOLLO,,,,,0.056
215.432,Control_APOLLO,,,,2.072
215.433,Changes?_APOLLO,,,,,0.049
220.484,Control_APOLLO,,,,2.166
220.484,Changes?_APOLLO,,,,,0.05
225.561,Control_APOLLO,,,,2.162
225.561,Changes?_APOLLO,,,,,0.058
230.6,Control_APOLLO,,,,2.062
230.601,Changes?_APOLLO,,,,,0.052
235.676,Control_APOLLO,,,,2.147
235.677,Changes?_APOLLO,,,,,0.071
240.777,Control_APOLLO,,,,2.348
240.778,Changes?_APOLLO,,,,,0.103
245.916,Control_APOLLO,,,,2.493
245.916,Changes?_APOLLO,,,,,0.059
251.017,Control_APOLLO,,,,2.52
251.017,Changes?_APOLLO,,,,,0.075
256.133,Control_APOLLO,,,,2.313
256.134,Changes?_APOLLO,,,,,0.05
261.251,Control_APOLLO,,,,2.408
