Type,Time,,Best_Config,Best_newState,Best_R1,Best_R2,Best_R3,Best_Speed,LOOP,CLA1,CLA2,,S1_R1,S1_R2,S1_R3,S1_r,S1_Acc,S1_sp,,S2_R2,S2_R2,S2_R3,S2_r,S2_Acc,S2_sp,,S3_R1,S3_R2,S3_R3,S3_r,S3_Acc,S3_sp,,S4_R1,S4_R2,S4_R3,S4_r,S4_Acc,S4_sp,,S5_R1,S5_R2,S5_R3,S5_r,S5_Acc,S5_sp,,S6_R1,S6_R2,S6_R3,S6_r,S6_Acc,S6_sp,,S7_R1,S7_R2,S7_R3,S7_r,S7_Acc,S7_sp
Normal,72.6177,,4,4,259.153,291.208,1.64516,3.1,0.407192,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.8,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,92.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.153,291.208,1.64516,4.96614,92.1725,3.1,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,77.7899,,4,4,258.704,293.831,1.57143,3.5,0.394368,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,91.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.704,293.831,1.57143,5.01525,91.1625,3.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,82.8863,,4,4,258.991,283.725,1.86957,2.3,0.311788,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,95.4,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96.9333,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.991,283.725,1.86957,4.82633,94.6333,2.3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,87.8967,,4,4,260.154,298.619,1.51282,3.9,0.228082,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,89.275,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,90.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,260.154,298.619,1.51282,5.10504,90.1525,3.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,93.1866,,4,4,258.635,291.417,1.625,3.2,0.488656,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.6,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,92,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.635,291.417,1.625,4.97004,91.92,3.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,97.9596,,4,4,258.747,281.458,2,2,0.245066,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,96,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,97.3333,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.747,281.458,2,4.78407,95.3333,2,T,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,103.093,,4,4,258.763,291.556,1.625,3.2,0.350954,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.6,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,92,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.763,291.556,1.625,4.97265,91.92,3.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,108.436,,4,4,258.623,296.92,1.51282,3.9,0.569364,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,89.275,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,90.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.623,296.92,1.51282,5.07316,90.1525,3.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,113.361,,4,4,258.6,288.111,1.66667,3,0.399628,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.6,288.111,1.66667,4.90822,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,118.552,,4,4,258.799,293.15,1.58824,3.4,0.392936,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93.2,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,91.5,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.799,293.15,1.58824,5.0025,91.415,3.4,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,123.606,,4,4,259.154,294.324,1.57143,3.5,0.273754,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,91.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.154,294.324,1.57143,5.02449,91.1625,3.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,128.723,,4,4,260.547,290.205,1.66667,3,0.336944,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,260.547,290.205,1.66667,4.94738,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,133.911,,4,4,258.772,286.217,1.74074,2.7,0.395302,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94.6,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96.4,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.772,286.217,1.74074,4.87284,93.7,2.7,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,138.977,,4,4,259.062,294.224,1.57143,3.5,0.283695,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,91.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.062,294.224,1.57143,5.02261,91.1625,3.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,144.13,,4,4,260.246,289.881,1.66667,3,0.378202,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,260.246,289.881,1.66667,4.94131,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,149.203,,4,4,258.645,295.347,1.54054,3.7,0.295088,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,89.825,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,90.75,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.645,295.347,1.54054,5.04365,90.6575,3.7,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,154.247,,4,4,259.614,289.202,1.66667,3,0.26715,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.614,289.202,1.66667,4.92861,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,159.354,,4,4,260.801,290.479,1.66667,3,0.326395,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,260.801,290.479,1.66667,4.95249,93,3,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,164.499,,4,4,258.58,287.393,1.68966,2.9,0.362848,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94.2,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96.1333,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.58,287.393,1.68966,4.89481,93.2333,2.9,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,169.618,,4,4,258.966,295.7,1.54054,3.7,0.334418,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,89.825,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,90.75,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.966,295.7,1.54054,5.05028,90.6575,3.7,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,174.795,,4,4,258.522,286.639,1.71429,2.8,0.388938,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,94.4,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,96.2667,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,258.522,286.639,1.71429,4.88073,93.4667,2.8,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
Normal,179.883,,4,4,259.051,294.211,1.57143,3.5,0.300003,258.511,298.749,,6.92639e-310,6.92639e-310,1.4822e-323,5,93,1.9,,6.92639e-310,6.92639e-310,1.4822e-323,4.5,91.25,-0.2,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-2.3,,259.051,294.211,1.57143,5.02237,91.1625,3.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-6.5,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-8.6,,6.92639e-310,6.92639e-310,1.4822e-323,-1,-1,-10.7
