20.8348,LCA_APOLLO,28.051
20.8353,Send_APOLLO,,0.025
22.5983,Receive_APOLLO,,0.424
22.5988,Receive_APOLLO,,0.134
25.871,Selection_APOLLO,,,1.03
30.3975,Control_APOLLO,,,,20.175
30.3984,Changes?_APOLLO,,,,,0.295
31.3969,Control_APOLLO,,,,2.706
31.3973,Changes?_APOLLO,,,,,0.066
36.4125,Control_APOLLO,,,,2.637
36.4129,Changes?_APOLLO,,,,,0.088
41.2948,Control_APOLLO,,,,2.559
41.2954,Changes?_APOLLO,,,,,0.094
46.4516,Control_APOLLO,,,,2.404
46.4519,Changes?_APOLLO,,,,,0.052
51.6603,Control_APOLLO,,,,2.807
51.6607,Changes?_APOLLO,,,,,0.07
57.0713,Control_APOLLO,,,,2.733
57.0725,Changes?_APOLLO,,,,,0.214
62.0188,Control_APOLLO,,,,2.426
62.0192,Changes?_APOLLO,,,,,0.07
67.5909,Control_APOLLO,,,,2.958
67.5913,Changes?_APOLLO,,,,,0.075
72.266,Control_APOLLO,,,,3.564
72.2667,Changes?_APOLLO,,,,,0.105
77.5067,Control_APOLLO,,,,2.534
77.5071,Changes?_APOLLO,,,,,0.078
82.7515,Control_APOLLO,,,,2.96
82.752,Changes?_APOLLO,,,,,0.091
87.6548,Control_APOLLO,,,,2.525
87.6553,Changes?_APOLLO,,,,,0.077
93.1816,Control_APOLLO,,,,2.859
93.1821,Changes?_APOLLO,,,,,0.071
97.8173,Control_APOLLO,,,,2.433
97.8177,Changes?_APOLLO,,,,,0.069
103.07,Control_APOLLO,,,,3.415
103.071,Changes?_APOLLO,,,,,0.089
108.663,Control_APOLLO,,,,3.201
108.663,Changes?_APOLLO,,,,,0.076
113.441,Control_APOLLO,,,,3.16
113.441,Changes?_APOLLO,,,,,0.078
118.602,Control_APOLLO,,,,4.461
118.602,Changes?_APOLLO,,,,,0.072
123.495,Control_APOLLO,,,,2.48
123.496,Changes?_APOLLO,,,,,0.072
128.741,Control_APOLLO,,,,2.951
128.741,Changes?_APOLLO,,,,,0.074
133.919,Control_APOLLO,,,,2.947
133.919,Changes?_APOLLO,,,,,0.078
138.841,Control_APOLLO,,,,2.977
138.842,Changes?_APOLLO,,,,,0.087
144.138,Control_APOLLO,,,,2.946
144.139,Changes?_APOLLO,,,,,0.089
149.011,Control_APOLLO,,,,2.334
149.012,Changes?_APOLLO,,,,,0.084
154.182,Control_APOLLO,,,,3.118
154.183,Changes?_APOLLO,,,,,0.072
159.454,Control_APOLLO,,,,2.763
159.454,Changes?_APOLLO,,,,,0.076
164.368,Control_APOLLO,,,,2.509
164.368,Changes?_APOLLO,,,,,0.076
169.591,Control_APOLLO,,,,2.949
169.591,Changes?_APOLLO,,,,,0.056
174.839,Control_APOLLO,,,,3.514
174.84,Changes?_APOLLO,,,,,0.068
179.71,Control_APOLLO,,,,2.759
179.711,Changes?_APOLLO,,,,,0.072
184.815,Control_APOLLO,,,,2.469
184.815,Changes?_APOLLO,,,,,0.054
190.038,Control_APOLLO,,,,3.783
190.038,Changes?_APOLLO,,,,,0.073
195.221,Control_APOLLO,,,,2.795
195.221,Changes?_APOLLO,,,,,0.077
200.502,Control_APOLLO,,,,3.056
200.502,Changes?_APOLLO,,,,,0.071
205.336,Control_APOLLO,,,,2.5
205.337,Changes?_APOLLO,,,,,0.076
210.45,Control_APOLLO,,,,3.145
210.452,Changes?_APOLLO,,,,,0.435
215.595,Control_APOLLO,,,,3.082
215.595,Changes?_APOLLO,,,,,0.069
220.696,Control_APOLLO,,,,2.655
220.697,Changes?_APOLLO,,,,,0.074
225.961,Control_APOLLO,,,,3.237
225.961,Changes?_APOLLO,,,,,0.067
230.86,Control_APOLLO,,,,3.189
230.861,Changes?_APOLLO,,,,,0.148
235.956,Control_APOLLO,,,,2.575
235.956,Changes?_APOLLO,,,,,0.051
241.163,Control_APOLLO,,,,3.076
241.164,Changes?_APOLLO,,,,,0.198
246.318,Control_APOLLO,,,,2.377
246.318,Changes?_APOLLO,,,,,0.059
251.543,Control_APOLLO,,,,3.029
251.544,Changes?_APOLLO,,,,,0.055
256.629,Control_APOLLO,,,,2.236
256.63,Changes?_APOLLO,,,,,0.072
261.962,Control_APOLLO,,,,3.024
261.963,Changes?_APOLLO,,,,,0.086
266.837,Control_APOLLO,,,,2.718
266.838,Changes?_APOLLO,,,,,0.061
271.997,Control_APOLLO,,,,3.142
271.997,Changes?_APOLLO,,,,,0.064
277.099,Control_APOLLO,,,,2.193
277.1,Changes?_APOLLO,,,,,0.072
282.215,Control_APOLLO,,,,2.424
