26.4647,LCA_APOLLO,37.169
26.4656,Send_APOLLO,,0.031
27.9777,Receive_APOLLO,,0.424
27.9801,Receive_APOLLO,,0.19
31.5065,Selection_APOLLO,,,1.477
38.5952,Control_APOLLO,,,,21.028
38.5966,Changes?_APOLLO,,,,,0.296
42.2874,Control_APOLLO,,,,2.72
42.2884,Changes?_APOLLO,,,,,0.101
52.703,Control_APOLLO,,,,2.855
52.704,Changes?_APOLLO,,,,,0.079
62.5735,Control_APOLLO,,,,2.514
62.5739,Changes?_APOLLO,,,,,0.048
72.7175,Control_APOLLO,,,,2.816
72.7183,Changes?_APOLLO,,,,,0.098
82.94,Control_APOLLO,,,,2.722
82.9406,Changes?_APOLLO,,,,,0.075
93.1005,Control_APOLLO,,,,2.574
93.1011,Changes?_APOLLO,,,,,0.064
103.26,Control_APOLLO,,,,2.503
103.261,Changes?_APOLLO,,,,,0.071
113.817,Control_APOLLO,,,,2.758
113.817,Changes?_APOLLO,,,,,0.087
123.449,Control_APOLLO,,,,2.465
123.45,Changes?_APOLLO,,,,,0.091
133.695,Control_APOLLO,,,,2.67
133.695,Changes?_APOLLO,,,,,0.062
143.906,Control_APOLLO,,,,2.903
143.907,Changes?_APOLLO,,,,,0.08
154.226,Control_APOLLO,,,,3.075
154.227,Changes?_APOLLO,,,,,0.097
164.368,Control_APOLLO,,,,3.068
164.369,Changes?_APOLLO,,,,,0.077
174.01,Control_APOLLO,,,,2.787
174.01,Changes?_APOLLO,,,,,0.062
184.175,Control_APOLLO,,,,2.813
184.175,Changes?_APOLLO,,,,,0.081
194.352,Control_APOLLO,,,,2.571
194.353,Changes?_APOLLO,,,,,0.086
204.618,Control_APOLLO,,,,2.651
204.619,Changes?_APOLLO,,,,,0.081
214.605,Control_APOLLO,,,,2.704
214.605,Changes?_APOLLO,,,,,0.085
224.74,Control_APOLLO,,,,2.477
224.741,Changes?_APOLLO,,,,,0.079
234.922,Control_APOLLO,,,,2.738
234.922,Changes?_APOLLO,,,,,0.071
245.177,Control_APOLLO,,,,2.675
245.177,Changes?_APOLLO,,,,,0.081
254.991,Control_APOLLO,,,,2.466
254.992,Changes?_APOLLO,,,,,0.061
265.13,Control_APOLLO,,,,2.727
265.131,Changes?_APOLLO,,,,,0.091
275.244,Control_APOLLO,,,,2.767
275.245,Changes?_APOLLO,,,,,0.082
285.323,Control_APOLLO,,,,2.613
285.324,Changes?_APOLLO,,,,,0.059
295.525,Control_APOLLO,,,,2.517
295.526,Changes?_APOLLO,,,,,0.104
305.634,Control_APOLLO,,,,2.443
305.634,Changes?_APOLLO,,,,,0.095
315.71,Control_APOLLO,,,,2.681
315.711,Changes?_APOLLO,,,,,0.05
325.785,Control_APOLLO,,,,2.652
325.785,Changes?_APOLLO,,,,,0.064
335.874,Control_APOLLO,,,,2.477
335.874,Changes?_APOLLO,,,,,0.088
346.025,Control_APOLLO,,,,2.583
346.026,Changes?_APOLLO,,,,,0.094
356.139,Control_APOLLO,,,,2.399
356.14,Changes?_APOLLO,,,,,0.107
366.253,Control_APOLLO,,,,2.446
366.254,Changes?_APOLLO,,,,,0.083
376.529,Control_APOLLO,,,,2.475
376.53,Changes?_APOLLO,,,,,0.066
386.428,Control_APOLLO,,,,2.363
386.428,Changes?_APOLLO,,,,,0.07
396.558,Control_APOLLO,,,,2.453
396.558,Changes?_APOLLO,,,,,0.064
406.639,Control_APOLLO,,,,2.323
406.639,Changes?_APOLLO,,,,,0.081
416.724,Control_APOLLO,,,,2.362
416.724,Changes?_APOLLO,,,,,0.077
426.78,Control_APOLLO,,,,2.384
426.78,Changes?_APOLLO,,,,,0.067
436.897,Control_APOLLO,,,,2.583
436.897,Changes?_APOLLO,,,,,0.061
447.014,Control_APOLLO,,,,2.367
447.014,Changes?_APOLLO,,,,,0.076
457.11,Control_APOLLO,,,,2.364
457.11,Changes?_APOLLO,,,,,0.078
467.756,Control_APOLLO,,,,2.812
467.757,Changes?_APOLLO,,,,,0.071
477.345,Control_APOLLO,,,,2.361
477.346,Changes?_APOLLO,,,,,0.1
487.448,Control_APOLLO,,,,2.42
487.449,Changes?_APOLLO,,,,,0.087
497.93,Control_APOLLO,,,,2.761
497.93,Changes?_APOLLO,,,,,0.078
507.745,Control_APOLLO,,,,2.348
507.746,Changes?_APOLLO,,,,,0.087
517.811,Control_APOLLO,,,,2.439
517.811,Changes?_APOLLO,,,,,0.084
527.902,Control_APOLLO,,,,2.356
527.903,Changes?_APOLLO,,,,,0.097
538.129,Control_APOLLO,,,,2.61
538.13,Changes?_APOLLO,,,,,0.058
548.219,Control_APOLLO,,,,2.458
548.219,Changes?_APOLLO,,,,,0.093
558.308,Control_APOLLO,,,,2.456
558.309,Changes?_APOLLO,,,,,0.075
568.393,Control_APOLLO,,,,2.353
568.394,Changes?_APOLLO,,,,,0.062
578.515,Control_APOLLO,,,,2.499
578.516,Changes?_APOLLO,,,,,0.18
588.608,Control_APOLLO,,,,2.373
588.609,Changes?_APOLLO,,,,,0.071
598.748,Control_APOLLO,,,,2.706
598.749,Changes?_APOLLO,,,,,0.081
608.867,Control_APOLLO,,,,2.563
608.867,Changes?_APOLLO,,,,,0.055
618.945,Control_APOLLO,,,,2.434
618.945,Changes?_APOLLO,,,,,0.072
629.091,Control_APOLLO,,,,2.493
629.092,Changes?_APOLLO,,,,,0.081
639.211,Control_APOLLO,,,,2.659
639.211,Changes?_APOLLO,,,,,0.074
649.334,Control_APOLLO,,,,2.481
649.335,Changes?_APOLLO,,,,,0.093
659.439,Control_APOLLO,,,,2.427
659.44,Changes?_APOLLO,,,,,0.115
669.518,Control_APOLLO,,,,2.457
669.518,Changes?_APOLLO,,,,,0.079
679.585,Control_APOLLO,,,,2.412
679.585,Changes?_APOLLO,,,,,0.084
689.695,Control_APOLLO,,,,2.467
689.696,Changes?_APOLLO,,,,,0.079
699.762,Control_APOLLO,,,,2.311
699.763,Changes?_APOLLO,,,,,0.113
709.864,Control_APOLLO,,,,2.592
709.865,Changes?_APOLLO,,,,,0.077
719.973,Control_APOLLO,,,,2.277
719.974,Changes?_APOLLO,,,,,0.075
730.056,Control_APOLLO,,,,2.466
730.057,Changes?_APOLLO,,,,,0.077
740.107,Control_APOLLO,,,,2.454
740.108,Changes?_APOLLO,,,,,0.074
750.274,Control_APOLLO,,,,2.469
750.274,Changes?_APOLLO,,,,,0.076
760.336,Control_APOLLO,,,,2.506
760.337,Changes?_APOLLO,,,,,0.078
770.418,Control_APOLLO,,,,2.684
770.418,Changes?_APOLLO,,,,,0.055
780.536,Control_APOLLO,,,,2.478
780.537,Changes?_APOLLO,,,,,0.093
