192.84,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
192.842,Selected:,3,1,4,Total:1004.06/1394.4,OK,CLA:239.119/353.888,UUV:1,Config:1,true

215.619,Unsorted:,1.76574/271.383/479.191,1.49484/213.173/318.659,1.64364/483.094/794.035,1.13761/232.983/265.043,1.4718/502.91/740.184,1.30301/444.701/579.451,1.58624/665.355/1055.41,
215.619,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
215.619,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
215.621,Selected:,4,-1,5,Total:1006.5/1383.98,OK,CLA:-1/10000,UUV:1,Config:-1,false

245.742,Unsorted:,1.76239/278.26/490.403,1.49663/210.43/314.935,1.64506/487.229/801.521,1.13445/241.161/273.585,1.46714/517.969/759.931,1.29797/450.138/584.266,1.58322/676.742/1071.43,
245.742,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
245.742,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
245.744,Selected:,3,1,4,Total:1006.48/1396.92,OK,CLA:239.119/353.888,UUV:1,Config:1,true

256.13,Unsorted:,1.76821/266.51/471.246,1.49738/209.283/313.377,1.64614/474.328/780.812,1.13689/234.792/266.932,1.46872/499.845/734.13,1.30148/442.619/576.059,1.58462/658.883/1044.08,
256.13,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
256.13,Unsorted:,1.79727/266.622/479.191,1.4496/244.033/353.751,1.62828/509.198/829.116,1.1276/261.015/294.321,1.46227/526.202/769.452,1.27841/503.594/643.8,1.5642/715.859/1119.75,
256.132,Selected:,4,-1,5,Total:1003.44/1377.93,OK,CLA:-1/10000,UUV:1,Config:-1,false

273.26,Unsorted:,1.76539/272.086/480.337,1.4932/215.746/322.152,1.64211/486.37/798.672,1.13279/245.703/278.329,1.46147/516.337/754.61,1.29614/459.998/596.224,1.57771/680.31/1073.33,
273.261,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
273.261,Unsorted:,1.79727/266.622/479.191,1.44838/246.568/357.123,1.62679/511.735/832.487,1.12429/271.86/305.649,1.45382/537.051/780.777,1.27373/516.98/658.495,1.55736/728.437/1134.44,
273.262,Selected:,3,1,5,Total:1001.8/1290.71,OK,CLA:239.119/353.888,UUV:1,Config:1,true

281.208,Unsorted:,1.76691/269.04/475.37,1.49734/209.348/313.465,1.64602/476.923/785.023,1.13546/238.485/270.79,1.46642/506.07/742.109,1.29935/446.379/580.004,1.58282/664.725/1052.14,
281.208,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
281.208,Unsorted:,1.79727/266.622/479.191,1.45222/238.815/346.812,1.63138/503.978/822.179,1.12724/262.167/295.525,1.46136/527.355/770.656,1.27734/499.528/638.067,1.56437/712.119/1114.02,
281.209,Selected:,4,-1,5,Total:1005.6/1380.18,OK,CLA:-1/10000,UUV:1,Config:-1,false

329.956,Unsorted:,1.76691/269.04/475.37,1.49734/209.348/313.465,1.64602/476.923/785.023,1.13546/238.485/270.79,1.46642/506.07/742.109,1.29935/446.379/580.004,1.58282/664.725/1052.14,
329.957,Unsorted:,1.85463/188.236/349.109,1.47996/239.119/353.888,1.64177/425.888/699.212,1.12271/217.646/244.353,1.45765/404.391/589.46,1.30461/455.296/593.985,1.46496/641.602/939.923,
329.957,Unsorted:,1.79727/266.622/479.191,1.44684/249.8/361.421,1.62492/514.968/836.784,1.12655/264.345/297.799,1.45964/529.533/772.93,1.27746/512.695/654.945,1.56128/724.336/1130.89,
329.958,Selected:,4,1,3,Total:1009.53/1393.8,OK,CLA:239.119/353.888,UUV:1,Config:1,true

