19.0232,LCA_ZEUS,26.825
19.0235,Send_ZEUS,,0.027
20.5423,Receive_ZEUS,,0.424
21.045,Receive_ZEUS,,0.24
24.0667,Selection_ZEUS,,,1.037
28.6182,Control_ZEUS,,,,19.342
28.619,Changes?_ZEUS,,,,,0.255
29.6104,Control_ZEUS,,,,2.628
29.6111,Changes?_ZEUS,,,,,0.086
34.7265,Control_ZEUS,,,,2.482
34.7269,Changes?_ZEUS,,,,,0.073
39.6688,Control_ZEUS,,,,2.491
39.6692,Changes?_ZEUS,,,,,0.07
44.9014,Control_ZEUS,,,,2.657
44.9019,Changes?_ZEUS,,,,,0.072
46.9147,Receive_ZEUS,,0.149
51.9516,Selection_ZEUS,,,1.158
54.8579,Control_ZEUS,,,,17.582
54.8583,Changes?_ZEUS,,,,,0.065
57.4726,Control_ZEUS,,,,2.392
57.473,Changes?_ZEUS,,,,,0.053
62.7494,Control_ZEUS,,,,2.542
62.7498,Changes?_ZEUS,,,,,0.073
67.6375,Control_ZEUS,,,,2.348
67.6378,Changes?_ZEUS,,,,,0.049
67.6406,Receive_ZEUS,,0.105
72.675,Selection_ZEUS,,,0.823
74.9528,Control_ZEUS,,,,16.497
74.9531,Changes?_ZEUS,,,,,0.055
78.0024,Control_ZEUS,,,,2.111
78.0028,Changes?_ZEUS,,,,,0.052
83.112,Control_ZEUS,,,,2.291
83.1123,Changes?_ZEUS,,,,,0.049
87.1433,Receive_ZEUS,,0.175
90.6719,Receive_ZEUS,,0.195
92.1812,Selection_ZEUS,,,1.416
94.3882,Control_ZEUS,,,,16.555
94.3886,Changes?_ZEUS,,,,,0.052
97.6919,Control_ZEUS,,,,2.195
97.6924,Changes?_ZEUS,,,,,0.077
102.752,Control_ZEUS,,,,2.188
102.753,Changes?_ZEUS,,,,,0.054
107.831,Control_ZEUS,,,,2.339
107.831,Changes?_ZEUS,,,,,0.05
112.963,Control_ZEUS,,,,2.533
112.963,Changes?_ZEUS,,,,,0.062
118.038,Control_ZEUS,,,,2.402
118.038,Changes?_ZEUS,,,,,0.051
123.146,Control_ZEUS,,,,2.36
123.146,Changes?_ZEUS,,,,,0.056
127.178,Receive_ZEUS,,0.235
132.207,Selection_ZEUS,,,0.772
136.43,Control_ZEUS,,,,19.204
136.43,Changes?_ZEUS,,,,,0.08
137.678,Control_ZEUS,,,,2.375
137.679,Changes?_ZEUS,,,,,0.054
138.701,Receive_ZEUS,,0.14
140.212,Receive_ZEUS,,0.207
143.736,Selection_ZEUS,,,1.049
148.375,Control_ZEUS,,,,21.153
148.375,Changes?_ZEUS,,,,,0.068
149.525,Control_ZEUS,,,,3.012
149.526,Changes?_ZEUS,,,,,0.106
154.558,Control_ZEUS,,,,3.123
154.559,Changes?_ZEUS,,,,,0.074
159.469,Control_ZEUS,,,,3.5
159.47,Changes?_ZEUS,,,,,0.342
160.23,Receive_ZEUS,,0.16
165.269,Selection_ZEUS,,,0.733
167.672,Control_ZEUS,,,,16.629
167.673,Changes?_ZEUS,,,,,0.076
169.934,Receive_ZEUS,,0.192
174.963,Selection_ZEUS,,,1.124
177.644,Control_ZEUS,,,,17.339
177.644,Changes?_ZEUS,,,,,0.07
180.548,Control_ZEUS,,,,2.505
180.548,Changes?_ZEUS,,,,,0.073
185.323,Receive_ZEUS,,0.204
190.351,Selection_ZEUS,,,0.679
192.876,Control_ZEUS,,,,18.681
192.877,Changes?_ZEUS,,,,,0.087
195.675,Control_ZEUS,,,,2.485
195.675,Changes?_ZEUS,,,,,0.052
200.795,Control_ZEUS,,,,2.805
200.796,Changes?_ZEUS,,,,,0.078
205.896,Control_ZEUS,,,,2.257
205.897,Changes?_ZEUS,,,,,0.068
210.428,Receive_ZEUS,,0.166
215.468,Selection_ZEUS,,,1.072
218.601,Control_ZEUS,,,,20.117
218.601,Changes?_ZEUS,,,,,0.082
221.006,Control_ZEUS,,,,2.607
221.006,Changes?_ZEUS,,,,,0.08
226.443,Control_ZEUS,,,,5.077
226.444,Changes?_ZEUS,,,,,0.213
231.288,Control_ZEUS,,,,2.395
231.288,Changes?_ZEUS,,,,,0.073
236.602,Control_ZEUS,,,,3.406
236.604,Changes?_ZEUS,,,,,0.227
240.635,Receive_ZEUS,,0.277
245.701,Selection_ZEUS,,,1.134
248.608,Control_ZEUS,,,,17.525
248.608,Changes?_ZEUS,,,,,0.075
251.172,Control_ZEUS,,,,2.308
251.173,Changes?_ZEUS,,,,,0.058
251.174,Receive_ZEUS,,0.1
256.203,Selection_ZEUS,,,1.082
258.745,Control_ZEUS,,,,17.523
258.746,Changes?_ZEUS,,,,,0.075
264.773,Control_ZEUS,,,,21.989
264.774,Changes?_ZEUS,,,,,0.053
267.138,LCA,19.286
267.138,Send_ZEUS,,0.024
267.142,Receive_ZEUS,,0.124
272.173,Selection_ZEUS,,,0.803
274.471,Control_ZEUS,,,,15.96
274.471,Changes?_ZEUS,,,,,0.078
276.62,LCA,16.806
276.62,Send_ZEUS,,0.016
276.624,Receive_ZEUS,,0.102
281.661,Selection_ZEUS,,,1.054
283.833,Control_ZEUS,,,,15.83
283.834,Changes?_ZEUS,,,,,0.07
287.167,Control_ZEUS,,,,2.233
287.167,Changes?_ZEUS,,,,,0.069
292.263,Control_ZEUS,,,,2.328
292.264,Changes?_ZEUS,,,,,0.065
297.394,Control_ZEUS,,,,2.449
297.394,Changes?_ZEUS,,,,,0.053
302.5,Control_ZEUS,,,,2.369
302.5,Changes?_ZEUS,,,,,0.073
307.594,Control_ZEUS,,,,2.193
307.595,Changes?_ZEUS,,,,,0.054
312.803,Control_ZEUS,,,,3.196
312.803,Changes?_ZEUS,,,,,0.057
321.352,Control_ZEUS,,,,26.829
321.352,Changes?_ZEUS,,,,,0.053
