22.1957,LCA_HERMES,29.108
22.1961,Send_HERMES,,0.027
23.4536,Receive_HERMES,,0.436
23.9553,Receive_HERMES,,0.191
27.2321,Selection_HERMES,,,2.631
32.1951,Control_HERMES,,,,19.884
32.1958,Changes?_HERMES,,,,,0.25
35.1629,Control_HERMES,,,,17.226
35.1633,Changes?_HERMES,,,,,0.073
40.5602,Control_HERMES,,,,20.724
40.5607,Changes?_HERMES,,,,,0.075
45.5959,Control_HERMES,,,,17.254
45.5962,Changes?_HERMES,,,,,0.05
50.0926,Control_HERMES,,,,16.324
50.093,Changes?_HERMES,,,,,0.073
50.0948,Receive_HERMES,,0.076
55.1322,Selection_HERMES,,,1.061
58.7802,Control_HERMES,,,,17.726
58.7806,Changes?_HERMES,,,,,0.068
60.6752,Control_HERMES,,,,2.383
60.6756,Changes?_HERMES,,,,,0.087
61.6815,Receive_HERMES,,0.183
66.717,Selection_HERMES,,,0.766
69.6003,Control_HERMES,,,,18.422
69.6006,Changes?_HERMES,,,,,0.063
74.0341,Control_HERMES,,,,16.64
74.0357,Changes?_HERMES,,,,,0.299
79.0958,Control_HERMES,,,,16.192
79.0962,Changes?_HERMES,,,,,0.069
84.6417,Control_HERMES,,,,16.983
84.642,Changes?_HERMES,,,,,0.061
86.6564,Receive_HERMES,,0.241
91.6894,Selection_HERMES,,,0.716
94.4125,Control_HERMES,,,,16.909
94.4129,Changes?_HERMES,,,,,0.082
96.68,Receive_HERMES,,0.325
101.712,Selection_HERMES,,,0.77
104.104,Control_HERMES,,,,16.223
104.104,Changes?_HERMES,,,,,0.071
108.881,Control_HERMES,,,,15.544
108.881,Changes?_HERMES,,,,,0.048
113.943,Control_HERMES,,,,15.346
113.943,Changes?_HERMES,,,,,0.052
118.939,Control_HERMES,,,,16.039
118.939,Changes?_HERMES,,,,,0.054
124.596,Control_HERMES,,,,16.756
124.596,Changes?_HERMES,,,,,0.071
126.364,Receive_HERMES,,0.215
131.391,Selection_HERMES,,,1.05
133.907,Control_HERMES,,,,16.818
133.907,Changes?_HERMES,,,,,0.05
138.754,Control_HERMES,,,,16.645
138.755,Changes?_HERMES,,,,,0.066
141.267,Receive_HERMES,,0.207
146.293,Selection_HERMES,,,0.984
148.555,Control_HERMES,,,,16.044
148.555,Changes?_HERMES,,,,,0.069
151.573,Control_HERMES,,,,2.429
151.573,Changes?_HERMES,,,,,0.088
158.505,Control_HERMES,,,,18.235
158.505,Changes?_HERMES,,,,,0.049
160.564,LCA,16.71
160.564,Send_HERMES,,0.019
165.594,Selection_HERMES,,,1.319
168.097,Control_HERMES,,,,18.197
168.098,Changes?_HERMES,,,,,0.081
170.807,LCA,18.694
170.807,Send_HERMES,,0.024
170.809,Receive_HERMES,,0.123
175.845,Selection_HERMES,,,1.077
178.365,Control_HERMES,,,,18.801
178.365,Changes?_HERMES,,,,,0.056
178.87,Receive_HERMES,,0.177
183.896,Selection_HERMES,,,0.694
186.122,Control_HERMES,,,,16.222
186.123,Changes?_HERMES,,,,,0.08
191.603,Control_HERMES,,,,19.848
191.604,Changes?_HERMES,,,,,0.092
195.115,LCA,27.168
195.115,Send_HERMES,,0.02
200.143,Selection_HERMES,,,0.977
203.9,Control_HERMES,,,,21.815
203.901,Changes?_HERMES,,,,,0.083
205.455,Control_HERMES,,,,2.815
205.455,Changes?_HERMES,,,,,0.065
208.474,Receive_HERMES,,0.181
213.494,Selection_HERMES,,,0.716
216.565,Control_HERMES,,,,17.034
216.565,Changes?_HERMES,,,,,0.084
220.506,Control_HERMES,,,,15.837
220.507,Changes?_HERMES,,,,,0.048
226.37,Control_HERMES,,,,19.831
226.37,Changes?_HERMES,,,,,0.051
232.018,Control_HERMES,,,,26.826
232.018,Changes?_HERMES,,,,,0.052
235.917,Control_HERMES,,,,15.461
235.917,Changes?_HERMES,,,,,0.073
241.056,Control_HERMES,,,,15.248
241.056,Changes?_HERMES,,,,,0.049
246.204,Control_HERMES,,,,15.574
246.205,Changes?_HERMES,,,,,0.051
251.342,Control_HERMES,,,,15.669
251.342,Changes?_HERMES,,,,,0.048
256.488,Control_HERMES,,,,15.62
256.488,Changes?_HERMES,,,,,0.049
261.609,Control_HERMES,,,,15.15
261.61,Changes?_HERMES,,,,,0.048
266.724,Control_HERMES,,,,15.164
266.724,Changes?_HERMES,,,,,0.047
271.931,Control_HERMES,,,,15.709
271.931,Changes?_HERMES,,,,,0.049
277.114,Control_HERMES,,,,15.562
277.115,Changes?_HERMES,,,,,0.059
282.219,Control_HERMES,,,,14.705
282.219,Changes?_HERMES,,,,,0.057
287.346,Control_HERMES,,,,14.84
287.347,Changes?_HERMES,,,,,0.088
292.458,Control_HERMES,,,,15.225
292.458,Changes?_HERMES,,,,,0.048
297.583,Control_HERMES,,,,15.839
297.583,Changes?_HERMES,,,,,0.076
303.713,Control_HERMES,,,,19.175
303.713,Changes?_HERMES,,,,,0.07
307.754,Control_HERMES,,,,15.369
307.754,Changes?_HERMES,,,,,0.048
312.845,Control_HERMES,,,,15.474
312.845,Changes?_HERMES,,,,,0.054
318.359,Control_HERMES,,,,16.263
318.36,Changes?_HERMES,,,,,0.056
320.877,Receive_HERMES,,0.19
325.916,Selection_HERMES,,,1.084
328.498,Control_HERMES,,,,16.097
328.499,Changes?_HERMES,,,,,0.075
331.021,Receive_HERMES,,0.216
336.06,Selection_HERMES,,,0.911
338.223,Control_HERMES,,,,16.039
338.224,Changes?_HERMES,,,,,0.069
340.139,LCA,16.185
340.139,Send_HERMES,,0.015
345.177,Selection_HERMES,,,1.228
347.168,Control_HERMES,,,,15.662
347.168,Changes?_HERMES,,,,,0.056
352.249,Control_HERMES,,,,15.6
352.249,Changes?_HERMES,,,,,0.048
357.105,Control_HERMES,,,,14.953
357.105,Changes?_HERMES,,,,,0.064
362.282,Control_HERMES,,,,15.028
362.282,Changes?_HERMES,,,,,0.063
367.445,Control_HERMES,,,,15.467
367.445,Changes?_HERMES,,,,,0.047
367.448,Receive_HERMES,,0.094
372.478,Selection_HERMES,,,0.827
374.752,Control_HERMES,,,,15.893
374.752,Changes?_HERMES,,,,,0.076
377.744,Control_HERMES,,,,2.331
377.744,Changes?_HERMES,,,,,0.082
